"Year","Rank","Song Title","Artist(s)"
"01/07/2006","8","Gold Digger","Kanye West Featuring Jamie Foxx"
"01/07/2006","35","Heard 'Em Say","Kanye West Featuring Adam Levine"
"01/14/2006","4","Gold Digger","Kanye West Featuring Jamie Foxx"
"01/14/2006","40","Heard 'Em Say","Kanye West Featuring Adam Levine"
"01/21/2006","7","Gold Digger","Kanye West Featuring Jamie Foxx"
"01/21/2006","45","Heard 'Em Say","Kanye West Featuring Adam Levine"
"01/28/2006","12","Gold Digger","Kanye West Featuring Jamie Foxx"
"01/28/2006","58","Heard 'Em Say","Kanye West Featuring Adam Levine"
"02/04/2006","17","Gold Digger","Kanye West Featuring Jamie Foxx"
"02/04/2006","71","Heard 'Em Say","Kanye West Featuring Adam Levine"
"02/11/2006","22","Gold Digger","Kanye West Featuring Jamie Foxx"
"02/11/2006","91","Heard 'Em Say","Kanye West Featuring Adam Levine"
"02/18/2006","22","Gold Digger","Kanye West Featuring Jamie Foxx"
"02/25/2006","18","Gold Digger","Kanye West Featuring Jamie Foxx"
"02/25/2006","90","Touch The Sky","Kanye West Featuring Lupe Fiasco"
"03/04/2006","21","Gold Digger","Kanye West Featuring Jamie Foxx"
"03/04/2006","70","Touch The Sky","Kanye West Featuring Lupe Fiasco"
"03/11/2006","23","Gold Digger","Kanye West Featuring Jamie Foxx"
"03/11/2006","52","Touch The Sky","Kanye West Featuring Lupe Fiasco"
"03/18/2006","29","Gold Digger","Kanye West Featuring Jamie Foxx"
"03/18/2006","47","Touch The Sky","Kanye West Featuring Lupe Fiasco"
"03/25/2006","34","Gold Digger","Kanye West Featuring Jamie Foxx"
"03/25/2006","42","Touch The Sky","Kanye West Featuring Lupe Fiasco"
"04/01/2006","39","Gold Digger","Kanye West Featuring Jamie Foxx"
"04/01/2006","47","Touch The Sky","Kanye West Featuring Lupe Fiasco"
"04/08/2006","43","Gold Digger","Kanye West Featuring Jamie Foxx"
"04/08/2006","52","Touch The Sky","Kanye West Featuring Lupe Fiasco"
"04/15/2006","44","Gold Digger","Kanye West Featuring Jamie Foxx"
"04/15/2006","69","Touch The Sky","Kanye West Featuring Lupe Fiasco"
"04/22/2006","50","Gold Digger","Kanye West Featuring Jamie Foxx"
"04/22/2006","87","Touch The Sky","Kanye West Featuring Lupe Fiasco"
"08/05/2006","97","Number One","Pharrell Featuring Kanye West"
"08/12/2006","57","Number One","Pharrell Featuring Kanye West"
"08/19/2006","88","Number One","Pharrell Featuring Kanye West"
