"Year","Rank","Song Title","Artist(s)"
"04/22/1995","67","Baby It's You","The Beatles"
"04/29/1995","79","Baby It's You","The Beatles"
"05/06/1995","89","Baby It's You","The Beatles"
"05/13/1995","99","Baby It's You","The Beatles"
"06/17/1995","5","Scream/Childhood","Michael Jackson & Janet Jackson"
"06/24/1995","6","Scream/Childhood","Michael Jackson & Janet Jackson"
"07/01/1995","5","Scream/Childhood","Michael Jackson & Janet Jackson"
"07/08/1995","7","Scream/Childhood","Michael Jackson & Janet Jackson"
"07/15/1995","6","Scream/Childhood","Michael Jackson & Janet Jackson"
"07/22/1995","9","Scream/Childhood","Michael Jackson & Janet Jackson"
"07/29/1995","13","Scream/Childhood","Michael Jackson & Janet Jackson"
"08/05/1995","22","Scream/Childhood","Michael Jackson & Janet Jackson"
"08/12/1995","34","Scream/Childhood","Michael Jackson & Janet Jackson"
"08/19/1995","44","Scream/Childhood","Michael Jackson & Janet Jackson"
"08/26/1995","48","Scream/Childhood","Michael Jackson & Janet Jackson"
"09/02/1995","1","You Are Not Alone","Michael Jackson"
"09/02/1995","60","Scream/Childhood","Michael Jackson & Janet Jackson"
"09/09/1995","2","You Are Not Alone","Michael Jackson"
"09/09/1995","71","Scream/Childhood","Michael Jackson & Janet Jackson"
"09/16/1995","2","You Are Not Alone","Michael Jackson"
"09/16/1995","70","Scream/Childhood","Michael Jackson & Janet Jackson"
"09/23/1995","2","You Are Not Alone","Michael Jackson"
"09/23/1995","74","Scream/Childhood","Michael Jackson & Janet Jackson"
"09/30/1995","3","You Are Not Alone","Michael Jackson"
"09/30/1995","81","Scream/Childhood","Michael Jackson & Janet Jackson"
"10/07/1995","3","You Are Not Alone","Michael Jackson"
"10/07/1995","89","Scream/Childhood","Michael Jackson & Janet Jackson"
"10/14/1995","3","You Are Not Alone","Michael Jackson"
"10/21/1995","5","You Are Not Alone","Michael Jackson"
"10/28/1995","5","You Are Not Alone","Michael Jackson"
"11/04/1995","8","You Are Not Alone","Michael Jackson"
"11/11/1995","13","You Are Not Alone","Michael Jackson"
"11/18/1995","19","You Are Not Alone","Michael Jackson"
"11/25/1995","28","You Are Not Alone","Michael Jackson"
"12/02/1995","36","You Are Not Alone","Michael Jackson"
"12/09/1995","42","You Are Not Alone","Michael Jackson"
"12/16/1995","51","You Are Not Alone","Michael Jackson"
"12/23/1995","54","You Are Not Alone","Michael Jackson"
"12/30/1995","10","Free As A Bird","The Beatles"
"12/30/1995","57","You Are Not Alone","Michael Jackson"
