"Year","Rank","Song Title","Artist(s)"
"01/30/2016","45","Under Pressure","Queen & David Bowie"
"03/19/2016","95","Til It Happens To You","Lady Gaga"
"04/23/2016","34","Famous","Kanye West"
"04/23/2016","37","Father Stretch My Hands Pt. 1","Kanye West"
"04/23/2016","54","Pt. 2","Kanye West"
"04/23/2016","67","Ultralight Beam","Kanye West"
"04/23/2016","71","Waves","Kanye West"
"04/23/2016","84","FML","Kanye West"
"04/23/2016","92","Real Friends","Kanye West"
"04/23/2016","99","Feedback","Kanye West"
"04/30/2016","49","Famous","Kanye West"
"04/30/2016","54","Father Stretch My Hands Pt. 1","Kanye West"
"04/30/2016","73","Pt. 2","Kanye West"
"04/30/2016","86","Waves","Kanye West"
"04/30/2016","90","Ultralight Beam","Kanye West"
"05/07/2016","62","Famous","Kanye West"
"05/07/2016","64","Father Stretch My Hands Pt. 1","Kanye West"
"05/07/2016","97","Pt. 2","Kanye West"
"05/14/2016","82","Father Stretch My Hands Pt. 1","Kanye West"
"05/14/2016","83","Famous","Kanye West"
"05/21/2016","95","Famous","Kanye West"
"05/21/2016","98","Father Stretch My Hands Pt. 1","Kanye West"
"05/28/2016","88","Famous","Kanye West"
"05/28/2016","94","Father Stretch My Hands Pt. 1","Kanye West"
"06/04/2016","92","THat Part","ScHoolboy Q Featuring Kanye West"
"06/25/2016","97","Father Stretch My Hands Pt. 1","Kanye West"
"07/02/2016","71","Champions","Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner"
"07/02/2016","76","THat Part","ScHoolboy Q Featuring Kanye West"
"07/02/2016","97","Father Stretch My Hands Pt. 1","Kanye West"
"07/09/2016","69","THat Part","ScHoolboy Q Featuring Kanye West"
"07/09/2016","79","Champions","Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner"
"07/09/2016","98","Father Stretch My Hands Pt. 1","Kanye West"
"07/16/2016","64","THat Part","ScHoolboy Q Featuring Kanye West"
"07/16/2016","71","Famous","Kanye West"
"07/16/2016","95","Father Stretch My Hands Pt. 1","Kanye West"
"07/16/2016","98","Champions","Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner"
"07/23/2016","64","THat Part","ScHoolboy Q Featuring Kanye West"
"07/23/2016","75","Famous","Kanye West"
"07/30/2016","43","THat Part","ScHoolboy Q Featuring Kanye West"
"07/30/2016","88","Famous","Kanye West"
"07/30/2016","100","Father Stretch My Hands Pt. 1","Kanye West"
"08/06/2016","42","THat Part","ScHoolboy Q Featuring Kanye West"
"08/06/2016","71","Famous","Kanye West"
"08/13/2016","40","THat Part","ScHoolboy Q Featuring Kanye West"
"08/13/2016","74","Famous","Kanye West"
"08/13/2016","89","P**** Print","Gucci Mane Featuring Kanye West"
"08/13/2016","94","Father Stretch My Hands Pt. 1","Kanye West"
"08/20/2016","51","THat Part","ScHoolboy Q Featuring Kanye West"
"08/20/2016","83","Father Stretch My Hands Pt. 1","Kanye West"
"08/20/2016","89","Famous","Kanye West"
"08/27/2016","51","THat Part","ScHoolboy Q Featuring Kanye West"
"08/27/2016","83","Father Stretch My Hands Pt. 1","Kanye West"
"09/03/2016","54","THat Part","ScHoolboy Q Featuring Kanye West"
"09/03/2016","74","Father Stretch My Hands Pt. 1","Kanye West"
"09/10/2016","56","THat Part","ScHoolboy Q Featuring Kanye West"
"09/10/2016","71","Father Stretch My Hands Pt. 1","Kanye West"
"09/17/2016","59","THat Part","ScHoolboy Q Featuring Kanye West"
"09/17/2016","69","Father Stretch My Hands Pt. 1","Kanye West"
"09/17/2016","90","Famous","Kanye West"
"09/24/2016","59","Father Stretch My Hands Pt. 1","Kanye West"
"09/24/2016","61","THat Part","ScHoolboy Q Featuring Kanye West"
"09/24/2016","98","Fade","Kanye West"
"09/24/2016","100","Famous","Kanye West"
"10/01/2016","15","Perfect Illusion","Lady Gaga"
"10/01/2016","47","Fade","Kanye West"
"10/01/2016","56","Father Stretch My Hands Pt. 1","Kanye West"
"10/01/2016","66","THat Part","ScHoolboy Q Featuring Kanye West"
"10/08/2016","42","Perfect Illusion","Lady Gaga"
"10/08/2016","56","Father Stretch My Hands Pt. 1","Kanye West"
"10/08/2016","62","Fade","Kanye West"
"10/08/2016","78","THat Part","ScHoolboy Q Featuring Kanye West"
"10/15/2016","57","Father Stretch My Hands Pt. 1","Kanye West"
"10/15/2016","58","Fade","Kanye West"
"10/15/2016","59","Perfect Illusion","Lady Gaga"
"10/15/2016","83","THat Part","ScHoolboy Q Featuring Kanye West"
"10/22/2016","54","Fade","Kanye West"
"10/22/2016","56","Father Stretch My Hands Pt. 1","Kanye West"
"10/22/2016","69","Perfect Illusion","Lady Gaga"
"10/22/2016","88","THat Part","ScHoolboy Q Featuring Kanye West"
"10/29/2016","60","Father Stretch My Hands Pt. 1","Kanye West"
"10/29/2016","64","Fade","Kanye West"
"10/29/2016","76","Million Reasons","Lady Gaga"
"10/29/2016","92","THat Part","ScHoolboy Q Featuring Kanye West"
"10/29/2016","95","Perfect Illusion","Lady Gaga"
"11/05/2016","64","Fade","Kanye West"
"11/05/2016","86","THat Part","ScHoolboy Q Featuring Kanye West"
"11/12/2016","57","Million Reasons","Lady Gaga"
"11/12/2016","65","Fade","Kanye West"
"11/12/2016","66","A-YO","Lady Gaga"
"11/12/2016","78","Perfect Illusion","Lady Gaga"
"11/19/2016","57","Million Reasons","Lady Gaga"
"11/19/2016","64","Fade","Kanye West"
"11/26/2016","67","Fade","Kanye West"
"11/26/2016","96","Million Reasons","Lady Gaga"
"12/03/2016","66","Fade","Kanye West"
"12/10/2016","71","Fade","Kanye West"
"12/17/2016","96","Fade","Kanye West"
"12/24/2016","52","Million Reasons","Lady Gaga"
"12/31/2016","62","Million Reasons","Lady Gaga"
