"Year","Rank","Song Title","Artist(s)"
"01/05/2002","19","Butterflies","Michael Jackson"
"01/05/2002","98","You Rock My World","Michael Jackson"
"01/12/2002","17","Butterflies","Michael Jackson"
"01/12/2002","91","You Rock My World","Michael Jackson"
"01/19/2002","16","Butterflies","Michael Jackson"
"01/19/2002","92","You Rock My World","Michael Jackson"
"01/26/2002","14","Butterflies","Michael Jackson"
"02/02/2002","14","Butterflies","Michael Jackson"
"02/09/2002","15","Butterflies","Michael Jackson"
"02/16/2002","17","Butterflies","Michael Jackson"
"02/23/2002","21","Butterflies","Michael Jackson"
"03/02/2002","29","Butterflies","Michael Jackson"
"03/09/2002","35","Butterflies","Michael Jackson"
"03/16/2002","34","Butterflies","Michael Jackson"
"03/23/2002","52","Butterflies","Michael Jackson"
"03/30/2002","54","Butterflies","Michael Jackson"
"12/28/2002","78","No One Knows","Queens Of The Stone Age"
