"Year","Rank","Song Title","Artist(s)"
"01/01/1972","5","Got To Be There","Michael Jackson"
"01/08/1972","5","Got To Be There","Michael Jackson"
"01/15/1972","8","Got To Be There","Michael Jackson"
"01/22/1972","15","Got To Be There","Michael Jackson"
"01/29/1972","31","Got To Be There","Michael Jackson"
"03/11/1972","68","Rockin' Robin","Michael Jackson"
"03/18/1972","33","Rockin' Robin","Michael Jackson"
"03/25/1972","14","Rockin' Robin","Michael Jackson"
"04/01/1972","9","Rockin' Robin","Michael Jackson"
"04/08/1972","5","Rockin' Robin","Michael Jackson"
"04/15/1972","4","Rockin' Robin","Michael Jackson"
"04/22/1972","2","Rockin' Robin","Michael Jackson"
"04/29/1972","2","Rockin' Robin","Michael Jackson"
"05/06/1972","4","Rockin' Robin","Michael Jackson"
"05/13/1972","5","Rockin' Robin","Michael Jackson"
"05/20/1972","6","Rockin' Robin","Michael Jackson"
"05/27/1972","26","Rockin' Robin","Michael Jackson"
"05/27/1972","59","I Wanna Be Where You Are","Michael Jackson"
"06/03/1972","48","Rockin' Robin","Michael Jackson"
"06/03/1972","49","I Wanna Be Where You Are","Michael Jackson"
"06/10/1972","38","I Wanna Be Where You Are","Michael Jackson"
"06/17/1972","33","I Wanna Be Where You Are","Michael Jackson"
"06/24/1972","27","I Wanna Be Where You Are","Michael Jackson"
"07/01/1972","21","I Wanna Be Where You Are","Michael Jackson"
"07/08/1972","18","I Wanna Be Where You Are","Michael Jackson"
"07/15/1972","16","I Wanna Be Where You Are","Michael Jackson"
"07/22/1972","16","I Wanna Be Where You Are","Michael Jackson"
"07/29/1972","24","I Wanna Be Where You Are","Michael Jackson"
"08/05/1972","37","I Wanna Be Where You Are","Michael Jackson"
"08/05/1972","85","Ben","Michael Jackson"
"08/12/1972","75","Ben","Michael Jackson"
"08/19/1972","61","Ben","Michael Jackson"
"08/26/1972","51","Ben","Michael Jackson"
"09/02/1972","43","Ben","Michael Jackson"
"09/09/1972","26","Ben","Michael Jackson"
"09/16/1972","13","Ben","Michael Jackson"
"09/23/1972","6","Ben","Michael Jackson"
"09/30/1972","5","Ben","Michael Jackson"
"10/07/1972","2","Ben","Michael Jackson"
"10/14/1972","1","Ben","Michael Jackson"
"10/21/1972","6","Ben","Michael Jackson"
"10/28/1972","8","Ben","Michael Jackson"
"11/04/1972","10","Ben","Michael Jackson"
"11/11/1972","17","Ben","Michael Jackson"
"11/18/1972","35","Ben","Michael Jackson"
