"Year","Rank","Song Title","Artist(s)"
"02/25/1967","83","Strawberry Fields Forever","The Beatles"
"02/25/1967","85","Penny Lane","The Beatles"
"03/04/1967","36","Penny Lane","The Beatles"
"03/04/1967","45","Strawberry Fields Forever","The Beatles"
"03/11/1967","5","Penny Lane","The Beatles"
"03/11/1967","16","Strawberry Fields Forever","The Beatles"
"03/18/1967","1","Penny Lane","The Beatles"
"03/18/1967","11","Strawberry Fields Forever","The Beatles"
"03/25/1967","3","Penny Lane","The Beatles"
"03/25/1967","11","Strawberry Fields Forever","The Beatles"
"04/01/1967","3","Penny Lane","The Beatles"
"04/01/1967","8","Strawberry Fields Forever","The Beatles"
"04/08/1967","6","Penny Lane","The Beatles"
"04/08/1967","15","Strawberry Fields Forever","The Beatles"
"04/15/1967","12","Penny Lane","The Beatles"
"04/15/1967","21","Strawberry Fields Forever","The Beatles"
"04/22/1967","21","Penny Lane","The Beatles"
"04/22/1967","28","Strawberry Fields Forever","The Beatles"
"04/29/1967","25","Penny Lane","The Beatles"
"07/22/1967","71","All You Need Is Love","The Beatles"
"07/29/1967","29","All You Need Is Love","The Beatles"
"07/29/1967","64","Baby You're A Rich Man","The Beatles"
"08/05/1967","3","All You Need Is Love","The Beatles"
"08/05/1967","41","Baby You're A Rich Man","The Beatles"
"08/12/1967","2","All You Need Is Love","The Beatles"
"08/12/1967","34","Baby You're A Rich Man","The Beatles"
"08/19/1967","1","All You Need Is Love","The Beatles"
"08/19/1967","38","Baby You're A Rich Man","The Beatles"
"08/26/1967","2","All You Need Is Love","The Beatles"
"08/26/1967","41","Baby You're A Rich Man","The Beatles"
"09/02/1967","2","All You Need Is Love","The Beatles"
"09/09/1967","6","All You Need Is Love","The Beatles"
"09/16/1967","8","All You Need Is Love","The Beatles"
"09/23/1967","24","All You Need Is Love","The Beatles"
"09/30/1967","48","All You Need Is Love","The Beatles"
"12/02/1967","45","Hello Goodbye","The Beatles"
"12/09/1967","8","Hello Goodbye","The Beatles"
"12/09/1967","64","I Am The Walrus","The Beatles"
"12/16/1967","3","Hello Goodbye","The Beatles"
"12/16/1967","57","I Am The Walrus","The Beatles"
"12/23/1967","3","Hello Goodbye","The Beatles"
"12/23/1967","56","I Am The Walrus","The Beatles"
"12/30/1967","1","Hello Goodbye","The Beatles"
"12/30/1967","75","I Am The Walrus","The Beatles"
