"Year","Rank","Song Title","Artist(s)"
"07/03/2004","67","Selfish","Slum Village Featuring Kanye West & John Legend"
"07/10/2004","16","Jesus Walks","Kanye West"
"07/10/2004","44","All Falls Down","Kanye West Featuring Syleena Johnson"
"07/10/2004","50","Talk About Our Love","Brandy Featuring Kanye West"
"07/10/2004","67","Selfish","Slum Village Featuring Kanye West & John Legend"
"07/17/2004","16","Jesus Walks","Kanye West"
"07/17/2004","54","All Falls Down","Kanye West Featuring Syleena Johnson"
"07/17/2004","59","Talk About Our Love","Brandy Featuring Kanye West"
"07/17/2004","69","Selfish","Slum Village Featuring Kanye West & John Legend"
"07/24/2004","14","Jesus Walks","Kanye West"
"07/24/2004","49","All Falls Down","Kanye West Featuring Syleena Johnson"
"07/24/2004","65","Selfish","Slum Village Featuring Kanye West & John Legend"
"07/24/2004","79","Talk About Our Love","Brandy Featuring Kanye West"
"07/31/2004","11","Jesus Walks","Kanye West"
"07/31/2004","64","Selfish","Slum Village Featuring Kanye West & John Legend"
"07/31/2004","87","Talk About Our Love","Brandy Featuring Kanye West"
"08/07/2004","11","Jesus Walks","Kanye West"
"08/07/2004","59","Selfish","Slum Village Featuring Kanye West & John Legend"
"08/07/2004","100","Talk About Our Love","Brandy Featuring Kanye West"
"08/14/2004","14","Jesus Walks","Kanye West"
"08/14/2004","55","Selfish","Slum Village Featuring Kanye West & John Legend"
"08/14/2004","94","Talk About Our Love","Brandy Featuring Kanye West"
"08/21/2004","14","Jesus Walks","Kanye West"
"08/21/2004","60","Selfish","Slum Village Featuring Kanye West & John Legend"
"08/28/2004","18","Jesus Walks","Kanye West"
"08/28/2004","65","Selfish","Slum Village Featuring Kanye West & John Legend"
"09/04/2004","20","Jesus Walks","Kanye West"
"09/04/2004","82","Selfish","Slum Village Featuring Kanye West & John Legend"
"09/11/2004","24","Jesus Walks","Kanye West"
"09/11/2004","96","Selfish","Slum Village Featuring Kanye West & John Legend"
"09/18/2004","27","Jesus Walks","Kanye West"
"09/25/2004","28","Jesus Walks","Kanye West"
"10/02/2004","34","Jesus Walks","Kanye West"
"10/09/2004","39","Jesus Walks","Kanye West"
"10/16/2004","47","Jesus Walks","Kanye West"
"10/23/2004","50","Jesus Walks","Kanye West"
