"Year","Rank","Song Title","Artist(s)"
"01/03/1981","14","Another One Bites The Dust","Queen"
"01/03/1981","44","Need Your Loving Tonight","Queen"
"01/10/1981","20","Another One Bites The Dust","Queen"
"01/10/1981","44","Need Your Loving Tonight","Queen"
"01/17/1981","30","Another One Bites The Dust","Queen"
"01/17/1981","55","Need Your Loving Tonight","Queen"
"01/17/1981","79","Flash's Theme Aka Flash","Queen"
"01/24/1981","47","Another One Bites The Dust","Queen"
"01/24/1981","62","Need Your Loving Tonight","Queen"
"01/24/1981","64","Flash's Theme Aka Flash","Queen"
"01/31/1981","52","Flash's Theme Aka Flash","Queen"
"01/31/1981","54","Another One Bites The Dust","Queen"
"01/31/1981","75","Need Your Loving Tonight","Queen"
"02/07/1981","46","Flash's Theme Aka Flash","Queen"
"02/07/1981","67","Another One Bites The Dust","Queen"
"02/07/1981","94","Need Your Loving Tonight","Queen"
"02/14/1981","42","Flash's Theme Aka Flash","Queen"
"02/14/1981","70","Another One Bites The Dust","Queen"
"02/21/1981","42","Flash's Theme Aka Flash","Queen"
"02/21/1981","96","Another One Bites The Dust","Queen"
"02/28/1981","53","Flash's Theme Aka Flash","Queen"
"02/28/1981","96","Another One Bites The Dust","Queen"
"03/07/1981","54","Flash's Theme Aka Flash","Queen"
"03/07/1981","98","Another One Bites The Dust","Queen"
"03/14/1981","82","Flash's Theme Aka Flash","Queen"
"03/14/1981","98","Another One Bites The Dust","Queen"
"03/21/1981","99","Flash's Theme Aka Flash","Queen"
"04/18/1981","81","One Day In Your Life","Michael Jackson"
"04/25/1981","70","One Day In Your Life","Michael Jackson"
"05/02/1981","62","One Day In Your Life","Michael Jackson"
"05/09/1981","58","One Day In Your Life","Michael Jackson"
"05/16/1981","55","One Day In Your Life","Michael Jackson"
"05/23/1981","68","One Day In Your Life","Michael Jackson"
"05/30/1981","97","One Day In Your Life","Michael Jackson"
"11/07/1981","80","Under Pressure","Queen & David Bowie"
"11/14/1981","66","Under Pressure","Queen & David Bowie"
"11/21/1981","54","Under Pressure","Queen & David Bowie"
"11/28/1981","46","Under Pressure","Queen & David Bowie"
"12/05/1981","40","Under Pressure","Queen & David Bowie"
"12/12/1981","35","Under Pressure","Queen & David Bowie"
"12/19/1981","33","Under Pressure","Queen & David Bowie"
"12/26/1981","31","Under Pressure","Queen & David Bowie"
