"Year","Rank","Song Title","Artist(s)"
"01/06/1979","25","Bicycle Race/Fat Bottomed Girls","Queen"
"01/13/1979","24","Bicycle Race/Fat Bottomed Girls","Queen"
"01/20/1979","59","Bicycle Race/Fat Bottomed Girls","Queen"
"01/27/1979","96","Bicycle Race/Fat Bottomed Girls","Queen"
"02/17/1979","87","Don't Stop Me Now","Queen"
"02/24/1979","83","You Can't Win (Part 1)","Michael Jackson"
"02/24/1979","87","Don't Stop Me Now","Queen"
"03/03/1979","81","You Can't Win (Part 1)","Michael Jackson"
"03/03/1979","86","Don't Stop Me Now","Queen"
"03/10/1979","95","You Can't Win (Part 1)","Michael Jackson"
"03/10/1979","97","Don't Stop Me Now","Queen"
"04/28/1979","94","Bang A Gong","Witch Queen"
"05/05/1979","89","Bang A Gong","Witch Queen"
"05/12/1979","79","Bang A Gong","Witch Queen"
"05/19/1979","69","Bang A Gong","Witch Queen"
"05/26/1979","68","Bang A Gong","Witch Queen"
"06/02/1979","98","Bang A Gong","Witch Queen"
"07/28/1979","87","Don't Stop 'til You Get Enough","Michael Jackson"
"08/04/1979","77","Don't Stop 'til You Get Enough","Michael Jackson"
"08/11/1979","73","Don't Stop 'til You Get Enough","Michael Jackson"
"08/18/1979","64","Don't Stop 'til You Get Enough","Michael Jackson"
"08/25/1979","54","Don't Stop 'til You Get Enough","Michael Jackson"
"09/01/1979","35","Don't Stop 'til You Get Enough","Michael Jackson"
"09/08/1979","32","Don't Stop 'til You Get Enough","Michael Jackson"
"09/15/1979","28","Don't Stop 'til You Get Enough","Michael Jackson"
"09/22/1979","12","Don't Stop 'til You Get Enough","Michael Jackson"
"09/29/1979","4","Don't Stop 'til You Get Enough","Michael Jackson"
"10/06/1979","2","Don't Stop 'til You Get Enough","Michael Jackson"
"10/13/1979","1","Don't Stop 'til You Get Enough","Michael Jackson"
"10/20/1979","2","Don't Stop 'til You Get Enough","Michael Jackson"
"10/27/1979","3","Don't Stop 'til You Get Enough","Michael Jackson"
"11/03/1979","6","Don't Stop 'til You Get Enough","Michael Jackson"
"11/03/1979","76","Rock With You","Michael Jackson"
"11/10/1979","12","Don't Stop 'til You Get Enough","Michael Jackson"
"11/10/1979","64","Rock With You","Michael Jackson"
"11/17/1979","13","Don't Stop 'til You Get Enough","Michael Jackson"
"11/17/1979","59","Rock With You","Michael Jackson"
"11/24/1979","35","Rock With You","Michael Jackson"
"11/24/1979","47","Don't Stop 'til You Get Enough","Michael Jackson"
"12/01/1979","29","Rock With You","Michael Jackson"
"12/01/1979","64","Don't Stop 'til You Get Enough","Michael Jackson"
"12/08/1979","21","Rock With You","Michael Jackson"
"12/08/1979","84","Don't Stop 'til You Get Enough","Michael Jackson"
"12/15/1979","12","Rock With You","Michael Jackson"
"12/15/1979","98","Don't Stop 'til You Get Enough","Michael Jackson"
"12/22/1979","11","Rock With You","Michael Jackson"
"12/22/1979","58","Crazy Little Thing Called Love","Queen"
"12/29/1979","11","Rock With You","Michael Jackson"
"12/29/1979","58","Crazy Little Thing Called Love","Queen"
