"Year","Rank","Song Title","Artist(s)"
"01/04/1969","23","Hey Jude","The Beatles"
"01/11/1969","30","Hey Jude","The Beatles"
"01/18/1969","38","Hey Jude","The Beatles"
"05/10/1969","10","Get Back","The Beatles With Billy Preston"
"05/10/1969","40","Don't Let Me Down","The Beatles With Billy Preston"
"05/17/1969","3","Get Back","The Beatles With Billy Preston"
"05/17/1969","36","Don't Let Me Down","The Beatles With Billy Preston"
"05/24/1969","1","Get Back","The Beatles With Billy Preston"
"05/24/1969","35","Don't Let Me Down","The Beatles With Billy Preston"
"05/31/1969","1","Get Back","The Beatles With Billy Preston"
"05/31/1969","42","Don't Let Me Down","The Beatles With Billy Preston"
"06/07/1969","1","Get Back","The Beatles With Billy Preston"
"06/14/1969","1","Get Back","The Beatles With Billy Preston"
"06/14/1969","71","The Ballad Of John And Yoko","The Beatles"
"06/21/1969","1","Get Back","The Beatles With Billy Preston"
"06/21/1969","24","The Ballad Of John And Yoko","The Beatles"
"06/28/1969","3","Get Back","The Beatles With Billy Preston"
"06/28/1969","11","The Ballad Of John And Yoko","The Beatles"
"07/05/1969","6","Get Back","The Beatles With Billy Preston"
"07/05/1969","11","The Ballad Of John And Yoko","The Beatles"
"07/12/1969","8","The Ballad Of John And Yoko","The Beatles"
"07/12/1969","12","Get Back","The Beatles With Billy Preston"
"07/19/1969","8","The Ballad Of John And Yoko","The Beatles"
"07/19/1969","16","Get Back","The Beatles With Billy Preston"
"07/26/1969","8","The Ballad Of John And Yoko","The Beatles"
"07/26/1969","27","Get Back","The Beatles With Billy Preston"
"08/02/1969","10","The Ballad Of John And Yoko","The Beatles"
"08/09/1969","29","The Ballad Of John And Yoko","The Beatles"
"10/18/1969","20","Something","The Beatles"
"10/18/1969","23","Come Together/Something","The Beatles"
"10/25/1969","11","Something","The Beatles"
"10/25/1969","13","Come Together/Something","The Beatles"
"11/01/1969","10","Come Together/Something","The Beatles"
"11/01/1969","11","Something","The Beatles"
"11/08/1969","3","Come Together/Something","The Beatles"
"11/08/1969","9","Something","The Beatles"
"11/15/1969","2","Come Together/Something","The Beatles"
"11/15/1969","3","Something","The Beatles"
"11/22/1969","3","Something","The Beatles"
"11/22/1969","7","Come Together/Something","The Beatles"
"11/29/1969","1","Come Together/Something","The Beatles"
"12/06/1969","3","Come Together/Something","The Beatles"
"12/13/1969","4","Come Together/Something","The Beatles"
"12/20/1969","6","Come Together/Something","The Beatles"
"12/27/1969","7","Come Together/Something","The Beatles"
