Title,Writer(s),Producer(s),Length
"Every Hour (featuring Sunday Service Choir)",Kanye West - Benjamin Scholefield - Federico Vindver,West - Budgie - Vindver,1:52
"Selah",West - Cydel Young - Dexter Raymond Mills Jr. - Vindver - Gene Thornton - Jahmal Gwin - Jeffrey LaValley - Rennard East - Terrence Thornton - Evan Mast,West - E*vax - BoogzDaBeast - Vindver - Benny Blanco - Francis Starlite,2:45
"Follow God",West - Aaron Butts - Bryant Bell - Calvin Eubanks - Curtis Eubanks - Gwin,West - BoogzDaBeast - Xcelence,1:45
"Closed on Sunday",West - Angel Lopez - Brian Miller - Chango Farías Gómez - Vindver - G. Thornton - EastT. Thornton - Timothy Mosley - Victory Elyse Boyd,West - Lopez - Brian 'AllDay' Miller - Vindver - Timbaland,2:32
"On God",West - Young - Vindver - Gwin - Jordan Timothy Jenks - Michael Cerda,West - BoogzDaBeast - Cerda - Pi'erre Bourne - Vindver,2:16
"Everything We Need (featuring Ty Dolla Sign and Ant Clemons)",West - Anthony Clemons - Bradford Lewis - Young - Vindver - Isaac DeBoni - Gwin - Michael Mulé - Mike Dean - Ronald Spence Jr. - Tyrone William Griffin Jr.,West - FNZ - Ronny J - BoogzDaBeast - Vindver - Dean,1:56
"Water (featuring Ant Clemons)",West - Alexander Nelson Klein - Lopez - Clemons - Bruce Haack - Vindver - Gwin - Mosley - Boyd,West - BoogzDaBeast - Lopez - Vindver - Timbaland,2:48
"God Is",West - Lopez - Vindver - Robert Fryson - Timothy Lee McKenzie - Boyd - Warryn Campbell,West - Campbell - Labrinth - Lopez - Vindver,3:23
"Hands On (featuring Fred Hammond)",West - Butts - Lopez - Vindver - Fred Hammond - Mosley,West - Lopez - Vindver - Timbaland,3:23
"Use This Gospel (featuring Clipse and Kenny G)",West - Lopez - Derek Watkins - Vindver - G. Thornton - Gwin - Jenks - Kenneth Bruce Gorelick - East - T. Thornton - Mosley,West - Lopez - DrtWrk - Vindver - Timbaland - BoogzDaBeast - Bourne,3:34
"Jesus Is Lord",West - Lopez - Miller - Claude Léveillée - Vindver - Mosley,West - Lopez - Miller - Vindver - Timbaland,0:49
