Title,Writer(s),Length
"""We're Almost There""","Edward Holland, Jr. - Brian Holland",3:41
" ""Take Me Back""","Edward Holland, Jr. - Brian Holland",3:29
"""One Day in Your Life"""," Sam Brown III - Ren_e Armand",4:15
"""Cinderella Stay Awhile"""," Mack David - Michael Burnett Sutton - Michael Jackson",3:11
"""We've Got Forever""",David - Elliot Willensky,3:12
" ""Just a Little Bit of You""",E. Holland - B. Holland,3:14
"""You Are There"""," Brown - Randy Meitzenheimer - Christine Yarian",3:23
"""Dapper-Dan"""," Hal Davis - Willensky",3:08
"""Dear Michael""",Hal Davis - Willensky,2:37
"""I'll Come Home to You"""," Freddie Perren - Christine Yarian",3:05
