Title,Writer(s),Lead vocals,Length
Tie Your Mother Down,Brian May,,4:48
You Take My Breath Away,Freddie Mercury,,5:09
Long Away,May,Brian May,3:34
The Millionaire Waltz,Mercury,,4:54
You and I,John Deacon,,3:25
Somebody to Love,Mercury,,4:56
 White Man,May,,4:59
Good Old-Fashioned Lover Boy,Mercury,Mercury with Mike Stone,2:54
Drowse,Roger Taylor,Roger Taylor,3:45
Teo Torriatte (Let Us Cling Together),May,,5:50
