Title,Writer(s),Lead vocals,Length
"""Mustapha""",Freddie Mercury,,3:03
"""Fat Bottomed Girls""",Brian May,Mercury with Brian May,4:14
"""Jealousy""",Mercury,,3:14
"""Bicycle Race""",Mercury,,3:04
"""If You Can't Beat Them""",John Deacon,,4:15
"""Let Me Entertain You""",Mercury,,3:01
"""Dead on Time""",May,,3:23
"""In Only Seven Days""",Deacon,,2:30
"""Dreamer's Ball""",May,,3:30
"""Fun It""",Roger Taylor,Roger Taylor with Mercury,3:29
"Leaving Home Ain't Easy""",May,May,3:15
"""Don't Stop Me Now""",Mercury,,3:29
"""More of That Jazz""",Taylor,Taylor,4:12
