Title,Writer(s),Lead vocals,Length
Flash's Theme,Brian May,,3:30
In the Space Capsule (The Love Theme),Roger Taylor,,2:21
Ming's Theme (In the Court of Ming the Merciless),Freddie Mercury,,2:53
The Ring (Hypnotic Seduction of Dale),Mercury,,0:58
Football Fight,Mercury,,1:29
In the Death Cell (Love Theme Reprise),Mercury,,2:26
Execution of Flash,Taylor,,1:06
The Kiss (Aura Resurrects Flash),John Deacon,,1:47
Arboria (Planet of the Tree Men)æ,"Mercury, Howard Blake",,1:41
Escape from the Swamp,Deacon,,1:44
Flash to the Rescue,Taylor,,2:47
Vultan's Theme (Attack of the Hawk Men),May,,1:15
Battle Theme,Mercury,,2:20
The Wedding Marchæ,"Richard Wagner, arr. May",,0:56
 Marriage of Dale and Ming (And Flash Approaching),"May, Taylor",,2:04
Crash Dive on Mingo City,May,,1:01
Flash's Theme Reprise (Victory Celebrations),May,,1:39
The Hero,"May, Blake",,3:31
