Title,Writer(s),Producer(s),Length
"Ultralight Beam",Kanye West - Michael Dean - Kelly Price - Terius Nash - Nico Segal - Kirk Franklin - Kasseem Dean - Chancelor Bennett - Noah Goldstein - Jerome Potter - Samuel Griesemer - Cydel Young - Derek Watkins,West - Mike Dean - Chance the Rapper - Swizz Beatz - Rick Rubin - Watkins - Plain Pat - DJDS - Goldstein,5:20
"Father Stretch My Hands, Pt. ",West - Scott Mescudi - Rubin - M. Dean - Goldstein - Leland Wayne - Young - Allen Ritter - Potter - Griesemer - Bennett - T. L. Barrett,West - M. Dean - Rubin - Metro Boomin - DJDS - Ritter - Goldstein,2:15
"Pt. 2",West - Rubin - Young - Sidney Selby III - Adnan Khan - Caroline Shaw - Pat Reynolds - Barrett,West - Menace - Rubin - Plain Pat - Shaw,2:10
"Famous",West - Young - Kejuan Muchita - Goldstein - Andrew Dawson - M. Dean - Bennett - K. Dean - Ernest Brown - Ed Hundertmark - Reynolds - Jimmy Webb - Winston Riley - Luis Enriquez Bacalov - Enzo Vita - Sergio Bardotti - Giampiero Scalamogna,West - Havoc - Goldstein - Charlie Heat - Dawson - Hudson Mohawke - M. Dean - Plain Pat,3:16
"Feedback",West - Brown - Goldstein - Young - Darius Jenkins - K. Rachel Mills - Marcus Byrd - Bennett - Ardalan Sarfaraz - Manouchehr Cheshmazar,West - Charlie Heat - Goldstein,2:27
"Low Lights",West - M. Dean - Potter - Griesemer - Sandy Rivera,West - DJDS - M. Dean,2:11
"Highlights",West - Nash - Goldstein - Young - Jeffery Williams - M. Dean - Greg Phillinganes - Tyler Bryant - Joshua Luellen - Reynolds - Jamichael Hall,West - M. Dean - Velous - Southside - Plain Pat - Goldstein,3:19
"Freestyle 4",West - M. Dean - Young - Selby III - Birchard - Potter - Griesemer - Goldstein - Shaw - Trevor Gureckis - Alison Goldfrapp - Robert Locke - Timothy Norfolk - William Gregory,West - Hudson Mohawke - Goldstein - M. Dean - DJDS - Shaw - Gureckis,2:03
"I Love Kanye",West,West,0:44
"Waves",West - Christopher M. Brown - Mescudi - Young - Tony Williams - Elon Rutberg - Birchard - Watkins - M. Dean - Bennett - Wayne - Brown - Fred Brathwaithe - Robin Diggs - Kevin Ferguson - Theodore Livingston - Darryl MasonJ - ames Whipper,West - Charlie Heat - Hudson Mohawke - Metro Boomin - M. Dean - Anthony Kilhoffer,3:01
"FML",West - Abel Tesfaye - Young - M. Dean - Dawson - Goldstein - Wayne - Brown - Christian Boggs - Jenkins - Mills - Byrd - Birchard - Jacques Webster - Lawrence Cassidy - Vincent Cassidy - Paul Wiggin,West - Mitus - Metro Boomin - Goldstein - M. Dean - Hudson Mohawke - Dawson,3:56
"Real Friends",West - Matthew Samuels - Adam Feeney - Muchita - Darren King - Young - Glenda Proby - Tyrone Griffin Jr. - M. Dean - Goldstein - Rupert Thomas - Jalil Hutchins - Lawrence Smith,West - Boi-1da - Frank Dukes - Havoc - King - M. Dean - Goldstein - Sevn Thomas,4:11
"Wolves",West - Sia Furler - Victor Mensah - Magnus August Høiberg - Alan Stanley Soucy Brinsmead - Goldstein - Rutberg - Young - Ryan McDermott - M. Dean - Kirby Lauryen - Reynolds - Shaw,West - Cashmere Cat - Sinjin Hawke - M. Dean - Goldstein - Shaw,5:01
"Frank's Track",West - Christopher Breaux - Høiberg - Brinsmead,West - Cashmere Cat - Sinjin Hawke,0:38
"Siiiiiiiiilver Surffffeeeeer Intermission",Charly Wingate - Karim Kharbouch,West,0:56
"30 Hours",West - Karriem Riggins - M. Dean - Aubrey Graham - Charles Arthur Russell - Cornell Haynes - Jason Epperson - Pharrell Williams - Charles L. Brown - Isaac Hayes,West - Karriem Riggins - M. Dean,5:23
"No More Parties in LA",West - Otis Jackson Jr. - Kendrick Duckworth - John Watson - Walter Morrison - Herbert Rooney - Ronald Bean - Highleigh Crizoe - Dennis Coles - Larry Graham - Tina Graham - Sam Dees,West - Madlib,6:14
"Facts (Charlie Heat Version)",West - Young - Brown - Goldstein - Luellen - Nicholas Smith - A. Graham - Wayne - Nayvadius Wilburn,West - Metro Boomin - Southside - Charlie Heat,3:20
"Fade",West - Griffin Jr. - Austin Post - Kilhoffer - M. Dean - Ryan Vojtesak - Goldstein - Benjamin Benstead - Potter - Griesemer - Norman Whitfield - Eddie Holland - Cornelius Grant - Larry Heard - Robert Owens - Louie Vega - Ronald Carroll - Barbara Tucker - Harold Matthews - Stephen Garrett - Rapture Stewart - Eric Seats,West - Kilhoffer - Benji B - M. Dean - Charlie Handsome - DJDS - Goldstein,3:13
"Saint Pablo",West - Sampha Sisay - M. Dean - Ritter - Shawn Carter - Deric Angelettie - Ronald Lawrence - Whitfield,West - M. Dean - Ritter - Goldstein,6:12
