Title,Writer(s),Lead vocals,Length
"""Staying Power""",Freddie Mercury,,4:10
"""Dancer""",Brian May,,3:46
"""Back Chat""",John Deacon,,4:31
"""Body Language""",Mercury,,4:29
"""Action This Day""",Roger Taylor,Mercury and Roger Taylor,3:33
"""Put Out the Fire""",May,Mercury with Brian May,3:15
"""Life Is Real (Song for Lennon)""",Mercury,,3:39
"""Calling All Girls""",Taylor,,3:53
" ""Las Palabras de Amor (The Words of Love)""",May,Mercury with May,4:26
"""Cool Cat""",Mercury - Deacon,,3:26
"""Under Pressure""",Mercury - May - Taylor - Deacon - David Bowie,Mercury with David Bowie,4:02
