Title,Writer(s),Lead vocals,Length
"Yellow Submarine",Lennon–McCartney,Starr,2:39
"Only a Northern Song",George Harrison,Harrison,3:24
"All Together Now",Lennon–McCartney,McCartney with Lennon,2:11
"Hey Bulldog",Lennon–McCartney,Lennon,3:11
"It's All Too Much",George Harrison,Harrison,6:25
"All You Need Is Love",Lennon–McCartney,Lennon,3:51
"Pepperland",George Martin,instrumental,2:21
"Sea of Time",George Martin,instrumental,3:00
"Sea of Holes",George Martin,instrumental,2:17
"Sea of Monsters",George Martin,instrumental,3:37
"March of the Meanies",George Martin,instrumental,2:22
"Pepperland Laid Waste",George Martin,instrumental,2:17
"Yellow Submarine in Pepperland",Lennon–McCartney; arr. George Martin,instrumental,2:13
