Title,Writer(s),Length
Bad Romance,"RedOne, Lady Gaga",4:54
Alejandro,"RedOne, Lady Gaga",4:34
Monster,"RedOne, Lady Gaga, Space Cowboy",4:10
Speechless,Lady Gaga,4:31
Dance in the Dark,"Lady Gaga, Fernando Garibay",4:49
Telephone (featuring Beyoncé),"Lady Gaga, Rodney ""Darkchild"" Jerkins, LaShawn Daniels, Lazonate Franklin, Beyoncé",3:41
So Happy I could Die,"Lady Gaga, RedOne, Space Cowboy",3:55
Teeth,"Lady Gaga, Taja Riley, Pete Wyoming Bender, Teddy Riley",3:41
Just Dance (featuring Colby O'Donis),"Lady Gaga, RedOne, Aliaune Thiam",4:02
LoveGame,"Lady Gaga, RedOne",3:36
Paparazzi,"Lady Gaga, Rob Fusari",3:28
Poker Face,"Lady Gaga, RedOne",3:57
"Eh, Eh (Nothing Else I Can Say)","Lady Gaga, Martin Kierzenbaum",2:55
"Beautiful, Dirty, Rich","Lady Gaga, Rob Fusari",2:52
The Fame,"Lady Gaga, Martin Kierzenbaum",3:42
Money Honey,"Lady Gaga, RedOne, Bilal Hajji",2:50
Starstruck (featuring Space Cowboy and Flo Rida),"Lady Gaga, Martin Kierzenbaum, Nick Dresti, Tramar Dillard",3:37
Boys Boys Boys,"Lady Gaga, RedOne",3:20
Paper Gangsta,"Lady Gaga, RedOne",4:23
Brown Eyes,"Lady Gaga, Rob Fusari",4:03
I Like It Rough,"Lady Gaga, Martin Kierzenbaum",3:22
Summerboy,"Lady Gaga, Brian Kierulf, Josh Schwartz",4:13
