Title,Writer(s),Lead vocals,Length
"Come Together",Lennon–McCartney,Lennon,4:19
"Something",George Harrison,Harrison,3:02
"Maxwell's Silver Hammer",Lennon–McCartney,McCartney,3:27
"Oh! Darling",Lennon–McCartney,McCartney,3:27
"Octopus's Garden",Richard Starkey,Starr,2:51
"I Want You (She's So Heavy)",Lennon–McCartney,Lennon,7:47
"Here Comes the Sun",Harrison,Harrison,3:05
"Because",Lennon–McCartney,Lennon - McCartney and Harrison,2:45
"You Never Give Me Your Money",Lennon–McCartney,McCartney,4:03
"Sun King",Lennon–McCartney,Lennon with McCartney and Harrison,2:26
"Mean Mr. Mustard",Lennon–McCartney,Lennon,1:06
"Polythene Pam",Lennon–McCartney,Lennon,1:13
"She Came In Through the Bathroom Window",Lennon–McCartney,McCartney,1:58
"Golden Slumbers",Lennon–McCartney,McCartney,1:31
"Carry That Weight",Lennon–McCartney,McCartney with Lennon - Harrison and Starr,1:36
"The End",Lennon–McCartney,McCartney,2:05
