Title,Writer(s),Length
White Chrismas,Irving Berlin,3:22
Orange Colored Sky,"Milton DeLugg, Willie Stein",2:33
You and I,Lady Gaga,3:34
The Edge of Glory,"Lady Gaga, Fernando Garibay, DJ White Shadow",4:52
