Title,Writer(s),Producer(s),Length
"Good Morning",Kanye West - Elton John - Bernie Taupin,Kanye West,3:15
"Champion",West - Walter Becker - Donald Fagen,West - Brian Miller,2:47
"Stronger",West - Thomas Bangalter - Guy-Manuel de Homem-Christo - Edwin Birdsong,West - Mike Dean,5:12
"I Wonder",West - Labi Siffre,West,4:03
"Good Life",West - Faheem Najm - Aldrin Davis - Quincy Jones - James Ingram,West - Toomp - Dean,3:27
"Can't Tell Me Nothing",West - Davis,West - Toomp,4:31
"Barry Bonds",West - Dominick Lamb - Dwayne Carter Jr. - Norman Landsberg - John Ventura - Leslie Weinstein - Felix Pappalardi,Nottz - West,3:24
"Drunk and Hot Girls",West - Irmin Schmidt - Michael Karoli - Jaki Liebezeit - Kenji Suzuki - Holger Schuering,West - Jon Brion - Dean,5:13
"Flashing Lights",West - Eric Hudson,West - Hudson,3:57
"Everything I Am",West - Christopher Martin - Prince Phillip Mitchell - George Clinton Jr. - Carlton Ridenhour - Eric Sadler - Hank Shocklee,West,3:47
"The Glory",West - Dante Smith - Laura Nyro - Landsberg - Pappalardi - Ventura - Weinstein,West - Gee Roberson - Patrick Reynolds,3:32
"Homecoming",West - Chris Martin - Warryn Campbell,West - Warryn Campbell,3:23
"Big Brother",West - Davis,Toomp,4:47
