Title,Writer(s),Length
Intro,,0:20
Black Eyes,"Bradley Cooper, Lukas Nelson",3:03
Somewhere over the Rainbow,,0:42
Fabulous French,,0:19
La Vie en rose,"Louiguy, Edith Piaf",2:59
I'll Wait for You,,0:19
Maybe It's Time,Jason Isbell,2:39
Parking Lot,,0:31
Out of Time,"Bradley Cooper, Lukas Nelson",2:52
Alibi,"Lady Gaga, Bradley Cooper, Lukas Nelson",3:03
Trust Me,,0:32
Shallow,"Lady Gaga, Mark Ronson, Anthony Rossomando, Andrew Wyatt",3:35
"First Stop, Arizona",,0:10
Music to My Eyes,"Lady Gaga, Lukas Nelson",3:19
Diggin' My Grave,Paul Kennerley,3:57
I Love You,,0:19
Always Remember Us This Way,"Lady Gaga, Natalie Hemby, Hillary Lindsey, Lori McKenna",3:30
Unbelievable,,0:28
How Do You Hear It?,,0:14
Look What I Found,"Lady Gaga, Mark Nilan Jr. Nick Monson, Paul ""DJWS"" Blair, Lukas Nelson, Aaron Raitere",2:55
Memphis,,0:24
Heal me,"Lady Gaga, Mark Nilan Jr. Nick Monson, Paul ""DJWS"" Blair, Julia Michaels, Justin Tranter",3:16
I Don't Know What Love Is,"Lady Gaga, Lukas Nelson",2:57
Vows,,0:17
Is That Alright?,"Lady Gaga, Mark Nilan Jr. Nick Monson, Paul ""DJWS"" Blair, Lukas Nelson, Aaron Raitere",3:11
SNL,,0:13
Why Did You Do That?,"Lady Gaga, Diane Warren, Mark Nilan Jr., Nick Monson, Paul ""DJWS"" Blair",3:04
Hair Body Face,"Lady Gaga,  Mark Nilan Jr., Nick Monson, Paul ""DJWS"" Blair",3:22
Scene 98,,0:35
Before I Cry,"Lady Gaga,  Mark Nilan Jr., Nick Monson, Paul ""DJWS"" Blair",4:18
Too Far Gone,"Bradley Cooper, Lukas Nelson",1:26
Twelve Notes,,1:03
I'll Never Love Again,"Lady Gaga, Natalie Hemby, Hillary Lindsey, Aaron Raitere",4:41
I'll Never Love Again (extended version),"Lady Gaga, Natalie Hemby, Hillary Lindsey, Aaron Raitere",5:28
