Title,Writer(s),Lead vocals,Length
"""Unbreakable""",Michael Jackson - Rodney Jerkins - Fred Jerkins III - LaShawn Daniels - Nora Payne - Robert Smith - Christopher George Latore Wallace,,6:25
"""Heartbreaker""",Jackson - Jerkins - Jerkins III - DanielsMischke - Norman Gregg,,5:10
"""Invincible""",Jackson - Jerkins - Jerkins III - Daniels - Gregg,,4:45
"""Break of Dawn""",Jackson - Elliot Straite,,5:32
"""Heaven Can Wait""","Jackson - Teddy Riley - Andreao ""Fanatic"" Heard - Nate Smith - Teron Beal - Eritza Laues - Kenny Quiller",,4:49
"""You Rock My World""",Jackson - Jerkins - Jerkins III - Daniels - Payne,,5:39
"""Butterflies"""," Andre Harris - Marsha Ambrosius",,4:40
"""Speechless""",Jackson,,3:18
"""2000 Watts""",Jackson - Riley - Tyrese Gibson - JaRon Henson,,4:24
"""You Are My Life""",Jackson - Kenneth Edmonds - Carole Bayer Sager - John McClain,,4:33
"""Privacy"""," Jackson - Jerkins - Jerkins III - Daniels - Bernard Belle",,5:05
"""Don't Walk Away""",Jackson - Riley - Richard Carlton Stites - Reed Vertelney,,4:25
"""Cry""",Robert Kelley,,5:01
"""The Lost Children""",Jackson,,4:00
"""Whatever Happens""",Jackson - Riley,,4:56
"""Threatened""",Jackson - Jerkins - Jerkins III - Daniels,,4:19
