Title,Writer(s),Producer(s),Length
"Dark Fantasy",Kanye West - Robert Diggs - Ernest Wilson - Jeff Bhasker - Mike Dean - Malik Jones - Jon Anderson - Mike Oldfield,RZA - West - No I.D. - Bhasker - M. Dean,4:40
"Gorgeous",West - Wilson - M. Dean - Jones - Che Smith - Corey Woods - Scott Mescudi - Gene Clark - Roger McGuinn,West - No I.D. - M. Dean,5:57
"Power",West - Larry Griffin Jr. - M. Dean - Bhasker - Andwele Gardner - Ken Lewis - Francois Bernheim - Jean-Pierre Lang - Boris Bergman - Robert FrippvMichael Giles - Greg Lake - Ian McDonald - Peter Sinfield,S1 - West - Bhasker - M. Dean - Andrew Dawson,4:52
"All of the Lights (Interlude)",West - Bhasker - Jones - Warren Trotter - Stacy Ferguson,West - M. Dean,1:02
"All of the Lights",West - Bhasker - Jones - Trotter - Ferguson,West - Bhasker,4:59
"Monster",West - Shawn Carter - Patrick Reynolds - M. Dean - William Roberts II - Onika Maraj - Justin Vernon - Bhasker,West - M. Dean - Plain Pat,6:18
"So Appalled",West - Wilson - M. Dean - Carter - Terrence Thornton - Cydel Young - Kaseem Dean - Diggs - Manfred Mann,West - No I.D. - M. Dean,6:38
"Devil in a New Dress",West - Roosevelt Harrell - M. Dean - Roberts II - Jones - Carole King - Gerry Goffin,Bink - M. Dean,5:52
"Runaway",West - Emile Haynie - Thornton - Bhasker - M. Dean - Jones - John Branch,West - Emile - Bhasker - M. Dean,9:08
"Hell of a Life",West - Mike Caren - Wilson - M. Dean - Sylvester Stewart - Tony Joe White - Terence Butler - Anthony Iommi - John Osbourne - William Ward,West - Caren - No I.D. - M. Dean,5:27
"Blame Game",West - Justin Franks - Chloe Mitchell - M. Dean - John Stephens - Richard James,West - DJ Frank E - M. Dean,7:49
"Lost in the World",West - Bhasker - Manu Dibango - Vernon - Gil Scott-Heron,West - Bhasker,4:16
"Who Will Survive in America",West - Bhasker - Scott-Heron,West - Bhasker,1:38
