Title,Writer(s),Lead vocals,Length
Play the Game,Freddie Mercury,,3:30
Dragon Attack,Brian May,,4:18
Another One Bites the Dust,John Deacon,,3:35
Need Your Loving Tonight,Deacon,,2:50
Crazy Little Thing Called Love,Mercury,,2:42
Rock It (Prime Jive),Roger Taylor,Roger Taylor with Mercury,4:33
Don't Try Suicide,Mercury,,3:52
Sail Away Sweet Sister,May,Brian May with Mercury,3:33
Coming Soon,Taylor,Mercury with Taylor,2:51
Save Me,May,,3:48
