Title,Writer(s),Length
"""Love Never Felt So Good""",Michael Jackson - Paul Anka,3:54
"""Chicago""",M. Jackson - Cory Rooney,4:05
"""Loving You"" ",M. Jackson,3:15
"""A Place with No Name""",M. Jackson - Lee Martin Bunnell - Elliot Straite,5:35
"""Slave to the Rhythm""",Antonio Reid - Kenneth Edmonds - Daryl Simmons - Kevin Roberson,4:15
"""Do You Know Where Your Children Are""",M. Jackson,4:36
"""Blue Gangsta""",M. Jackson - Straite,4:14
" ""Xscape""","Jackson - Rodney ""Darkchild"" Jerkins - Fred Jerkins III - LaShawn Daniels",4:04
