Title,Writer(s),Lead vocals,Length
Innuendo,Freddie Mercury - Roger Taylor,,6:31
I'm Going Slightly Mad,Mercury,,4:22
Headlong,Brian May,,4:38
I Can't Live with You,May,,4:33
Don't Try So Hard,Mercury,,3:39
Ride the Wild Wind,Taylor,,4:42
All God's People,Mercury - Mike Moran,,4:21
These Are the Days of Our Lives,Taylor,,4:15
Delilah,Mercury,,3:35
The Hitman,Mercury - May - John Deacon,,4:56
Bijou,Mercury - May ,,3:36
The Show Must Go On,May,,4:35
