Title,Writer(s),Lead vocals,Length
Death on Two Legs (Dedicated to...),Freddie Mercury,,3:43
Lazing on a Sunday Afternoon,Freddie Mercury,,1:08
I'm in Love with My Car,Roger Taylor,Roger Taylor,3:05
 You're My Best Friend,John Deacon,,2:50
39,Brian May,Brian May,3:30
Sweet Lady,May,,4:01
Seaside Rendezvous,Mercury,,2:13
The Prophet's Song,May,,8:21
Love of My Life,Mercury,,3:38
Good Company,May,May,3:26
Bohemian Rhapsody,Mercuy,,5:57
God Save the Queen,"Traditional, arr. May",,1:11
