Title,Writer(s),Lead vocals,Length
Party," Freddie Mercury - Brian May - John Deacon",Mercury with May,2:24
Khashoggi's Ship,Mercury - May - Deacon - Roger Taylor,,2:48
The Miracle,Mercury - Deacon,,5:02
I Want It All,May,Mercury with May,4:41
The Invisible Man,Taylor,Mercury with Taylor,3:55
Breakthru,Mercury - Taylor,,4:07
Rain Must Fall,Mercury - Deacon,,4:20
Scandal,May,,4:42
My Baby Does Me,Mercury - Deacon,,3:22
Was It All Worth It,Mercury,,5:45
