Title,Writer(s),Lead vocals,Length
"Back in the U.S.S.R",Lennon–McCartney,McCartney,2:43
"Dear Prudence",Lennon–McCartney,Lennon,3:56
"Glass Onion",Lennon–McCartney,Lennon,2:18
"Ob-La-Di, Ob-La-Da",Lennon–McCartney,McCartney,3:08
"Wild Honey Pie",Lennon–McCartney,McCartney,0:52
"The Continuing Story of Bungalow Bill",Lennon–McCartney,Lennon with Yoko Ono,3:14
"While My Guitar Gently Weeps",George Harrison,Harrison,4:45
"Happiness Is a Warm Gun",Lennon–McCartney,Lennon,2:47
"Martha My Dear",Lennon–McCartney,McCartney,2:28
"I'm So Tired",Lennon–McCartney,Lennon,2:03
"Blackbird",Lennon–McCartney,McCartney,2:18
"Piggies",Harrison,Harrison,2:04
"Rocky Raccoon",Lennon–McCartney,McCartney,3:33
"Don't Pass Me By",Richard Starkey,Starr,3:51
"Why Don't We Do It in the Road?",Lennon–McCartney,McCartney,1:41
"I Will",Lennon–McCartney,McCartney,1:46
"Julia",Lennon–McCartney,Lennon,2:57
"Birthday",Lennon–McCartney,McCartney with Lennon,2:42
"Yer Blues",Lennon–McCartney,Lennon,4:01
"Mother Nature's Son",Lennon–McCartney,McCartney,2:48
"Everybody's Got Something to Hide Except Me and My Monkey",Lennon–McCartney,Lennon,2:24
"Sexy Sadie",Lennon–McCartney,Lennon,3:15
"Helter Skelter",Lennon–McCartney,McCartney,4:30
"Long, Long, Long",Harrison,Harrison,3:08
"Revolution 1",Lennon–McCartney,Lennon,4:15
"Honey Pie",Lennon–McCartney,McCartney,2:41
"Savoy Truffle",Harrison,Harrison,2:54
"Cry Baby Cry",Lennon–McCartney,Lennon with McCartney,3:02
"Revolution 9",Lennon–McCartney,Speaking from Lennon - Harrison - Ono and George Martin,8:15
"Good Night",Lennon–McCartney,Starr,3:14
