Title,Writer(s),Lead vocals,Length
"""Keep Yourself Alive""",Brian May, Freddie Mercury - Roger Taylor - Brian May,3:46
"""Doing All Right"""," May - Tim Staffell",,4:10
"""Great King Rat""",Freddie Mercury,,5:41
"""My Fairy King""",Mercury,,4:07
"""Liar""",Mercury,,6:26
" ""The Night Comes Down""",May,,4:24
"""Modern Times Rock 'N' Roll""",Roger Taylor,Taylor,1:48
"""Son and Daughter""",May,,3:24
"""Jesus""",Mercury,,3:45
"""Seven Seas of Rhye...""",Mercury,,1:19
