Title,Writer(s),Lead vocals,Length
"""Radio Ga Ga""",Roger Taylor,,5:48
"""Tear It Up""",Brian May,,3:28
" ""It's a Hard Life""",Freddie Mercury,,4:08
" ""Man on the Prowl""",Mercury,,3:28
"""Machines (Or 'Back to Humans')""",May - Taylor,,5:10
" ""I Want to Break Free""",John Deacon,,3:20
"""Keep Passing the Open Windows""",Mercury,,5:21
"""Hammer to Fall""",May,,4:28
" ""Is This the World We Created...?""",May - Mercury,,2:13
