Title,Writer(s),Lead vocals,Length
"""Wanna Be Startin' Somethin'""",Michael Jackson,,6:02
"""Baby Be Mine""",Rod Temperton,,4:20
"""The Girl Is Mine""",Michael Jackson,,3:41
"""Thriller""",Rod Temperton,,5:57
"""Beat It""",Michael Jackson,,4:18
"""Billie Jean""",Michael Jackson,,4:57
"""Human Nature""",Steve Porcaro - John Bettis,,4:07
" ""P.Y.T. (Pretty Young Thing)""",James Ingram - Jones,,3:58:00 AM
"""The Lady in My Life""",Temperto,,4:59
