Title,Writer(s),Producer(s),Length
"Say You Will",Kanye West - Dexter Mills - Jeff Bhasker - Jay Jenkins,West,6:17
"Welcome to Heartbreak",West - Bhasker - Patrick Reynolds - Scott Mescudi,West - Bhasker - Plain Pat,4:22
"Heartless",West - Ernest Wilson - Mescudi - Malik Jones,West - No I.D.,3:30
"Amazing",West - Jones - Mills - Bhasker - Jenkins,West - Bhasker,3:58
"Love Lockdown",West - Bhasker - Jenny-Bea Englishman - Jones - LaNeah Menzies,West - Bhasker,4:30
"Paranoid",West - Reynolds - Mescudi - Mills - Bhasker,West - Bhasker - Pat,4:37
"RoboCop",West - Englishman - Jones - Mills - Mescudi - Antony Williams - Bhasker - Faheem Najm - Jenkins - Patrick Doyle,West,4:34
"Street Lights",West - Englishman - Williams - Benjamin McIldowie,West - Mr Hudson,3:09
"Bad News",West - George Bass,West,3:58
"See You in My Nightmares",West - Wilson - Bhasker - Dwayne Carter,West - No I.D.,4:18
"Coldest Winter",West - Wilson - Roland Orzabal,West - No I.D. - Bhasker,2:44
"Pinocchio Story (Freestyle Live from Singapore)",West,,6:01
