Title,Writer(s),Length
Aura,"Lady Gaga, Anton Zaslavski, Amit Duvedevani, Ezrez Eisen",3:55
Venus,"Lady Gaga, Paul Blair, Nick Monson, Dino Zisis, Hugo Leclerq, Le Sony'r Ra",3:53
G. U. Y.,"Lady Gaga, Anton Zaslavski,",3:52
Sexxx Dreams,"Lady Gaga, Paul Blair, Martin Bresso, William Grigahcine",3:34
"Jewels n' Drugs (featuring T.I., Too Short, and Twista)","Lady Gaga, Paul Blair, Nick Monson, Dino Zisis, Carl Mitchell, Todd Shaw, Clifford Harris Jr.",3:48
Manicure,"Lady Gaga, Paul Blair, Nick Monson, Dino Zisis",3:19
Do What U Want (featuring R. Kelly),"Lady Gaga, Paul Blair, Martin Bresso, William Grigahcine, R. Kelly",3:47
Artpop,"Lady Gaga, Paul Blair, Nick Monson, Dino Zisis",4:07
Swine,"Lady Gaga, Paul Blair, Nick Monson, Dino Zisis",4:28
Donatella,"Lady Gaga, Paul Blair, Nick Monson, Dino Zisis",4:24
Fashion!,"Lady Gaga, Anton Zaslavski, Paul Blair, Giorgio Tuinfort, William Adams, David Guetta",3:59
Mary Jane Holland,"Lady Gaga, Hugo Leclerq",4:37
Dope,"Lady Gaga, Paul Blair, Nick Monson, Dino Zisis",3:41
Gypsy,"Lady Gaga, Paul Blair, Hugo Leclerq, Nadir Khayat",4:08
Applause,"Lady Gaga, Paul Blair, Nick Monson, Dino Zisis, Martin Bresso, William Grigahcine, Nicolas Mercier, Julien Arias",3:32
