Title,Writers,Length
Anything Goes,Cole Porter,2:04
Cheek to Cheek,Irving Berlin,2:51
Don't Wait to Long,Sunny Skylar,2:36
I Can't Give You Anything but Love,"Dorothy Fields, Jimmy McHugh",3:13
Nature Boy,eden ahbez,4:08
Goody Goody,"Matt Malneck, John Mercer",2:12
Ev'ry Time We Say Goodbye,Cole Porter,3:10
Firefly,"Cy Coleman, Carolyn Leigh",1:58
I Won't Dance,"Dorothy Fields, Jimmy McHugh, Oscar Hammerstein II, Otto Harbach, Jerome Kern",3:57
They All Laughed,"George Gershwin, Ira Gershwin",1:49
Lush Life,Billy Strayhorn,4:15
Sophisticated Lady,"Duke Ellington, Irving Mills, Mitchell Parish",3:49
Let's Face the Music and Dance,Irving Berlin,2:07
But Beautiful,"Johnny Burke, Jimmy Van Heusen",4:04
It Don't Mean a Thing (If It Ain't Got That Swing),"Duke Ellington, Irving Mills",2:24
