Title,Writer(s),Producer(s),Length
"I Thought About Killing You",Kanye West - Mike Dean - Francis Farewell Starlite - Benjamin Levin - Cydel Young - Dexter Mills - Malik Yusef - Richard Cowie - Joseph Adenuga Olaitan - Kenneth Preshon - Terrence Boykin,West - Francis and the Lights - Benny Blanco - Dean - Andy C - Aaron Lammer,4:34
"Yikes",West - Dean - James Mbarack Achieng - Ayub Ogada - Aubrey Graham - Young - Mills - Danielle Balbuena - Jordan Jenks - Asten Harris - Yusef - Preshon - Boykin - Jordan Thorpe,West - Dean - Pi'erre Bourne - Apex Martin,3:08
"All Mine",West - Dean - Starlite - Young - Mills - Jeremih Felton - Balbuena - Ant Clemons - Uforo Ebong - Tyrone Griffin Jr. - Yusef - Preshon - Boykin - Thorpe,West - Dean - Francis and the Lights - Scott Carter,2:25
"Wouldn't Leave (featuring PartyNextDoor)",West - Dean - Reverend W.A. Donaldson - Griffin Jr. - Justin Vernon - Jahron Brathwaite - Starlite - Yusef - Noah Goldstein - Felton - Preshon - Boykin - Thorpe,West - Ty Dolla Sign - Dean - Goldstein,3:25
"No Mistakes",West - Dean - Edwin Hawkins - Ricky Walters - Che Pope - Young - Yusef - Preshon - Boykin,West - Pope - Caroline Shaw - Dean - Eric Danchick,2:03
"Ghost Town (featuring PartyNextDoor)",West - Dean - Trade Martin - Shirley Ann Lee - Brathwaite - Young - Mills - Balbuena - Starlite - Yusef - Carole Bayer Sager - Helen Jayne Culver - Goldstein - Preshon - Boykin - Thorpe,West - Dean - Francis and the Lights - Benny Blanco - Goldstein,4:31
"Violent Crimes",West - Balbuena - Dean - Kevin Parker - James Ireland - Griffin Jr.Yusef - 7 Aurelius - Irving Lorenzo - Thorpe,West - Irv Gotti - 7 Aurelius,3:35
