Title,Writer(s),Lead vocals,Length
"""Procession""",Brian May,,1:12
"""Father to Son""",Brian May,,6:14
"""White Queen (As It Began)""",Brian May,,4:34
" ""Some Day One Day""",Brian May,Brian May,4:23
"""The Loser in the End""",Roger Taylor,Roger Taylor,4:02
"""Ogre Battle""",Freddie Mercury,,4:10
"""The Fairy Feller's Master-Stroke""",Freddie Mercury,,2:40
"""Nevermore""",Freddie Mercury,,1:17
"""The March of the Black Queen""",Freddie Mercury,Mercury with Taylor and May,6:33
"""Funny How Love Is""",Freddie Mercury,,2:50
"""Seven Seas of Rhye""",Freddie Mercury,,2:50
