Title,Writer(s),Length
"""Billie Jean""æ",Michael Jackson,4:54
"""The Way You Make Me Feel""",Michael Jackson,4:58
"""Black or White""æ",Michael Jackson - Bill Bottrell,4:16
" ""Rock with You"" ",Rod Temperton,3:40
" ""She's Out of My Life""",Tom Bahler,3:38
"""Bad"" ",Michael Jackson,4:07
"""I Just Can't Stop Loving You""",Michael Jackson,4:13
"""Man in the Mirror""",Siedah Garrett - Glen Ballard,5:19
"Thriller"" ",Temperton,5:58
"""Beat It""",Michael Jackson,4:18
"""The Girl Is Mine""æ",Michael Jackson,3:42
" ""Remember the Time""",Teddy Riley - Michael Jackson - Bernard Belle,4:00
"""Don't Stop 'Til You Get Enough""æ",Michael Jackson,6:06
"""Wanna Be Startin' Somethin'""æ",Michael Jackson,6:03
"""Heal the World""",Michael Jackson,6:25
"""Scream""æ",James Harris III - Terry Lewis - Michael Jackson - Janet Jackson,4:38
"""They Don't Care About Us""",Michael Jackson,4:44
"""Stranger In Moscow""",Michael Jackson,5:44
"""This Time Around""",Michael Jackson - Dallas Austin - Swedien - Rene - Christopher George Latore Wallace,4:21
"""Earth Song""",Michael Jackson,6:48
"""D.S.""æ",Michael Jackson,4:49
"""Money""",Michael Jackson,4:42
"""You Are Not Alone""",John Lennon - Paul McCartney,4:03
"""Childhood""",R. Kelly,5:46
"""Tabloid Junkie""",Michael Jackson - Harris III - Lewis,4:33
"""2 Bad""æ",Michael Jackson - Swedien - Rene - Austin,4:50
"""HIStory""",Michael Jackson - Harris III - Lewis,6:38
"""Little Susie""",Michael Jackson,6:15
"""Smile""",John Turner - Geoffrey Parsons - Charlie Chaplin,4:56
