Title,Writer(s),Lead vocals,Length
 One Vision," Roger Taylor - Freddie Mercury - Brian May - John Deacon",,5:11
A Kind of Magic,Taylor,,4:24
 One Year of Love,Deacon,,4:27
Pain Is So Close to Pleasure,Mercury - Deacon,,4:21
 Friends Will Be Friends,Mercury - Deacon,,4:06
Who Wants to Live Forever,May,Mercury and Brian May,5:15
 Gimme the Prize (Kurgan's Theme),May,,4:33
 Don't Lose Your Head,Taylor,,4:38
Princes of the Universe,Mercury,,3:33
