Title,Writer(s),Length
Born this Way (Zedd remix),"Lady Gaga, Jeppe Laursen",6:30
Judas (Goldfrapp remix),"Lady Gaga, RedOne",4:41
The Edge of Glory (Foster the People remix),"Lady Gaga, Fernando Garibay, Paul Blair",6:10
You and I (Wild Beasts remix),Lady Gaga,3:50
Marry the Night (The Weeknd & Illangelo remix),"Lady Gaga, Fernando Garibay",4:03
Black Jesus + Amen Fashion (Michael Woods remix),"Lady Gaga, Paul Blair",6:10
Bloody Mary (The Horrors remix),"Lady Gaga, Fernando Garibay, RedOne",5:18
Scheiße (Guéna LG Club remix),"Lady Gaga, Redone",5:44
Americano (Gregori Klosman remix),"Lady Gaga, Fernando Garibay, Paul Blair, Brian Lee",6:07
Electric Chapel (Two Door Cinema Club remix),"Lady Gaga, Paul Blair",3:59
You and I (Metronomy remix),Lady Gaga,4:19
Judas (Hurts remix),"Lady Gaga, RedOne",3:48
Born This Way (Twin Shadow remix),"Lady Gaga, Jeppe Laursen",4:05
The Edge of Glory (Sultan & Ned Shepard remix),"Lady Gaga, Fernando Garibay, Paul Blair",6:34
