Title,Writer(s),Length
Jam,Michael Jackson - Rene Moore - Bruce Swedien - Teddy Riley,5:39
Why You Wanna Trip on Me,Riley - Bernard Belle,5:24
In the Closet,Michael Jackson - Riley,6:32
She Drives Me Wild,Michael Jackson - Riley - Aqil Davidson,3:42
Remember the Time,Michael Jackson - Riley - Belle,4:01
Can't Let Her Get Away,Michael Jackson - Riley,4:59
Heal the World,Michael Jackson,6:25
Black or White,Michael Jackson - Bill Bottrell,4:16
Who Is It,Michael Jackson,6:35
 Give In to Me,Michael Jackson - Bill Bottrell,5:30
Will You Be There,Michael Jackson,7:41
Keep the Faith,Michael Jackson - Glen Ballard - Siedah Garrett,5:57
 Gone Too Soon,Larry Grossman - Buz Kohan,3:22
Dangerous,Michael Jackson _ Bottrell - Riley,6:57
