"Year","Rank","Song Title","Artist(s)","Lyrics","URL"
"1974","6","The Loco-Motion","Grand Funk Railroad","","http://azlyrics.com/lyrics/grandfunkrailroad/thelocomotion.html"
"1974","7","TSOP (The Sound of Philadelphia)","MFSB","","http://azlyrics.com/lyrics/mfsb/tsopthesoundofphiladelphia.html"
"1974","8","The Streak","Ray Stevens","","http://azlyrics.com/lyrics/raystevens/thestreak.html"
"1974","9","Bennie and the Jets","Elton John","","http://azlyrics.com/lyrics/eltonjohn/bennieandthejets.html"
"1974","10","One Hell of a Woman","Mac Davis","","http://azlyrics.com/lyrics/macdavis/onehellofawoman.html"
"1974","11","Until You Come Back to Me (That's What I'm Gonna Do)","Aretha Franklin","","http://azlyrics.com/lyrics/arethafranklin/untilyoucomebacktomethatswhatimgonnado.html"
"1974","12","Jungle Boogie","Kool & the Gang","","http://azlyrics.com/lyrics/koolthegang/jungleboogie.html"
"1974","13","Midnight at the Oasis","Maria Muldaur","","http://azlyrics.com/lyrics/mariamuldaur/midnightattheoasis.html"
"1974","14","You Make Me Feel Brand New","The Stylistics","","http://azlyrics.com/lyrics/stylistics/youmakemefeelbrandnew.html"
"1974","15","Show and Tell","Al Wilson","","http://azlyrics.com/lyrics/alwilson/showandtell.html"
"1974","16","Spiders and Snakes","Jim Stafford","","http://azlyrics.com/lyrics/jimstafford/spidersandsnakes.html"
"1974","17","Rock On","David Essex","","http://azlyrics.com/lyrics/davidessex/rockon.html"
"1974","18","Sunshine on My Shoulders","John Denver","","http://azlyrics.com/lyrics/johndenver/sunshineonmyshoulders.html"
"1974","19","Sideshow","Blue Magic","","http://azlyrics.com/lyrics/bluemagic/sideshow.html"
"1974","20","Hooked on a Feeling","Blue Swede","","http://azlyrics.com/lyrics/blueswede/hookedonafeeling.html"
"1974","21","Billy Don't Be a Hero","Bo Donaldson and The Heywoods","","http://azlyrics.com/lyrics/bodonaldsonandtheheywoods/billydontbeahero.html"
"1974","22","Band on the Run","Paul McCartney and Wings","","http://azlyrics.com/lyrics/paulmccartneyandwings/bandontherun.html"
"1974","23","The Most Beautiful Girl","Charlie Rich","","http://azlyrics.com/lyrics/charlierich/themostbeautifulgirl.html"
"1974","24","Time in a Bottle","Jim Croce","","http://azlyrics.com/lyrics/jimcroce/timeinabottle.html"
"1974","25","Annie's Song","John Denver","","http://azlyrics.com/lyrics/johndenver/anniessong.html"
"1974","26","Let Me Be There","Olivia Newton-John","","http://azlyrics.com/lyrics/olivianewtonjohn/letmebethere.html"
"1974","27","Sundown","Gordon Lightfoot","","http://azlyrics.com/lyrics/gordonlightfoot/sundown.html"
"1974","28","(You're) Having My Baby","Paul Anka","","http://azlyrics.com/lyrics/paulanka/yourehavingmybaby.html"
"1974","29","Rock Me Gently","Andy Kim","","http://azlyrics.com/lyrics/andykim/rockmegently.html"
"1974","30","Boogie Down","Eddie Kendricks","","http://azlyrics.com/lyrics/eddiekendricks/boogiedown.html"
"1974","31","You're Sixteen","Ringo Starr","","http://azlyrics.com/lyrics/ringostarr/youresixteen.html"
"1974","32","If You Love Me (Let Me Know)","Olivia Newton-John","","http://azlyrics.com/lyrics/olivianewtonjohn/ifyoulovemeletmeknow.html"
"1974","33","Dark Lady","Cher","","http://azlyrics.com/lyrics/cher/darklady.html"
"1974","34","Best Thing That Ever Happened to Me","Gladys Knight & the Pips","","http://azlyrics.com/lyrics/gladysknightthepips/bestthingthateverhappenedtome.html"
"1974","35","Feel Like Makin' Love","Roberta Flack","","http://azlyrics.com/lyrics/robertaflack/feellikemakinlove.html"
"1974","36","Just Don't Want to Be Lonely","The Main Ingredient","","http://azlyrics.com/lyrics/mainingredient/justdontwanttobelonely.html"
"1974","37","Nothing from Nothing","Billy Preston","","http://azlyrics.com/lyrics/billypreston/nothingfromnothing.html"
"1974","38","Rock Your Baby","George McCrae","","http://azlyrics.com/lyrics/georgemccrae/rockyourbaby.html"
"1974","39","Top of the World","The Carpenters","","http://azlyrics.com/lyrics/carpenters/topoftheworld.html"
"1974","40","The Joker","Steve Miller Band","","http://azlyrics.com/lyrics/stevemillerband/thejoker.html"
"1974","41","I've Got to Use My Imagination","Gladys Knight & the Pips","","http://azlyrics.com/lyrics/gladysknightthepips/ivegottousemyimagination.html"
"1974","42","The Show Must Go On","Three Dog Night","","http://azlyrics.com/lyrics/threedognight/theshowmustgoon.html"
"1974","43","Rock the Boat","The Hues Corporation","","http://azlyrics.com/lyrics/huescorporation/rocktheboat.html"
