"Year","Rank","Song Title","Artist(s)","Lyrics","URL"
"1946","1","Prisoner of Love","Perry Como","Alone from night to night you'll find me\\n\nToo weak to break the chains that bind me\\n\nI need no shackles to remind me\\n\nI'm just a prisoner of love\\n\n\\n\nFor one command I stand and wait now\\n\nFrom one who's master of my fate now\\n\nI can't escape for it's too late now\\n\nI'm just a prisoner of love\\n\n\\n\nWhat's the good of my caring\\n\nIf someone is sharing those arms with me\\n\nAlthough she has another\\n\nI can't have another, for I'm not free\\n\n\\n\nShe's in my dreams awake or sleeping\\n\nUpon my knees to her I'm creeping\\n\nMy very life is in her keeping\\n\nI'm just a prisoner of love\\n\n\\n\nWhat's the good of my caring\\n\nIf someone is sharing those arms with me\\n\nAlthough she has another\\n\nI can't have another, for I'm not free\\n\n\\n\nShe's in my dreams awake or sleeping\\n\nUpon my knees to her I'm creeping\\n\nMy very life is in her keeping\\n\nI'm just a prisoner of love\n\n\\n\\n","http://azlyrics.com/lyrics/perrycomo/prisoneroflove.html"
"1946","2","To Each His Own","Eddy Howard","","http://azlyrics.com/lyrics/eddyhoward/toeachhisown.html"
"1946","3","The Gypsy","Ink Spots","","http://azlyrics.com/lyrics/inkspots/thegypsy.html"
"1946","4","Five Minutes More","Frank Sinatra","Dear, this evening seemed to go so awfully fast\\n\nWe had so much fun and now you're home at last\\n\nI look forward to a kiss or two at the garden gate\\n\nBut she gave me just a peck and insisted it was late\\n\n\\n\nGive me five minutes more, only five minutes more\\n\nLet me stay, let me stay in your arms\\n\nHere am I, begging for only five minutes more\\n\nOnly five minutes more of your charms\\n\n\\n\nAll week long I dreamed about our Saturday date\\n\nDon't you know that Sunday morning you can sleep late?\\n\nGive me five minutes more, only five minutes more\\n\nLet me stay, let me stay in your arms\\n\n\\n\nAll week long I dreamed about our Saturday date\\n\nDon't you know that Sunday morning you can sleep late?\\n\nGive me five minutes more, only five minutes more\\n\nLet me stay, let me stay in your arms\\n\n\\n\nAh, come on\n\n\\n\\n","http://azlyrics.com/lyrics/franksinatra/fiveminutesmore.html"
"1946","5","Rumors Are Flying","Frankie Carle","","http://azlyrics.com/lyrics/frankiecarle/rumorsareflying.html"
"1946","6","Oh! What It Seemed to Be","Frankie Carle","","http://azlyrics.com/lyrics/frankiecarle/ohwhatitseemedtobe.html"
"1946","7","Personality","Johnny Mercer and The Pied Pipers","","http://azlyrics.com/lyrics/johnnymercerandthepiedpipers/personality.html"
"1946","8","South America, Take It Away","Bing Crosby and The Andrews Sisters","","http://azlyrics.com/lyrics/bingcrosbyandtheandrewssisters/southamericatakeitaway.html"
"1946","9","The Gypsy","Dinah Shore","","http://azlyrics.com/lyrics/dinahshore/thegypsy.html"
"1946","10","Oh! What It Seemed to Be","Frank Sinatra","It was just a neighborhood dance\\n\nThat's all that it was\\n\nBut, oh, what it seemed to be\\n\nIt was like a masquerade ball\\n\nWith costumes and all\\n\n'Cause you were at the dance with me\\n\nIt was just a ride on a train\\n\nThat's all that it was\\n\nBut, oh, what it seemed to be\\n\nIt was like a trip to the stars\\n\nTo Venus and Mars\\n\n'Cause you were on the train with me\\n\nAnd when I kissed you, darling\\n\nIt was more than just a thrill for me\\n\nIt was the promise, darling\\n\nOf the things that fate had willed for me\\n\nIt was just a wedding in June\\n\nThat's all that it was\\n\nBut, oh, what it seemed to be\\n\nIt was like a royal affair\\n\nWith everyone there\\n\n'Cause you said \""Yes, I do\"" to me\n\n\\n\\n","http://azlyrics.com/lyrics/franksinatra/ohwhatitseemedtobe.html"
"1946","11","Surrender","Perry Como","","http://azlyrics.com/lyrics/perrycomo/surrender.html"
"1946","12","Doctor, Lawyer, Indian Chief","Betty Hutton","","http://azlyrics.com/lyrics/bettyhutton/doctorlawyerindianchief.html"
"1946","13","Let It Snow! Let It Snow! Let It Snow!","Vaughn Monroe","","http://azlyrics.com/lyrics/vaughnmonroe/letitsnowletitsnowletitsnow.html"
"1946","14","To Each His Own","Freddy Martin","","http://azlyrics.com/lyrics/freddymartin/toeachhisown.html"
"1946","15","Ole Buttermilk Sky","Kay Kyser","","http://azlyrics.com/lyrics/kaykyser/olebuttermilksky.html"
"1946","16","To Each His Own","Ink Spots","","http://azlyrics.com/lyrics/inkspots/toeachhisown.html"
"1946","17","Symphony","Freddy Martin","","http://azlyrics.com/lyrics/freddymartin/symphony.html"
"1946","18","The Old Lamp-Lighter","Sammy Kaye","","http://azlyrics.com/lyrics/sammykaye/theoldlamplighter.html"
"1946","19","I Can't Begin to Tell You","Bing Crosby and Carmen Cavallaro","","http://azlyrics.com/lyrics/bingcrosbyandcarmencavallaro/icantbegintotellyou.html"
"1946","20","I'm a Big Girl Now","Sammy Kaye","","http://azlyrics.com/lyrics/sammykaye/imabiggirlnow.html"
"1946","21","Symphony","Bing Crosby","","http://azlyrics.com/lyrics/bingcrosby/symphony.html"
"1946","22","The Gypsy","Sammy Kaye","","http://azlyrics.com/lyrics/sammykaye/thegypsy.html"
"1946","23","Doin' What Comes Natur'lly","Dinah Shore with the Spade Cooley Orchestra","","http://azlyrics.com/lyrics/dinahshorewiththespadecooleyorchestra/doinwhatcomesnaturlly.html"
"1946","24","Laughing on the Outside (Crying on the Inside)","Dinah Shore","","http://azlyrics.com/lyrics/dinahshore/laughingontheoutsidecryingontheinside.html"
"1946","25","Five Minutes More","Tex Beneke with the Glenn Miller Orchestra","","http://azlyrics.com/lyrics/texbenekewiththeglennmillerorchestra/fiveminutesmore.html"
"1946","26","Laughing on the Outside (Crying on the Inside)","Andy Russell","","http://azlyrics.com/lyrics/andyrussell/laughingontheoutsidecryingontheinside.html"
"1946","27","Hey! Ba-Ba-Re-Bop","Tex Beneke with the Glenn Miller Orchestra","","http://azlyrics.com/lyrics/texbenekewiththeglennmillerorchestra/heybabarebop.html"
"1946","28","They Say It's Wonderful","Perry Como","They say that falling in love is wonderful \\n\nIt's wonderful, so they say \\n\nAnd with the moon up above \\n\nIt's wonderful, it's wonderful, so they tell me! \\n\n\\n\nI can't recall who said it, I know I never read it \\n\nI only know they tell me that love is grand, and  \\n\nThe thing that's known as romance is wonderful  \\n\nWonderful, in every way, so they say! \\n\n\\n\n<i>[instrumental break]</i>\\n\n\\n\n<i>[repeat last verse]</i>\n\n\\n\\n","http://azlyrics.com/lyrics/perrycomo/theysayitswonderful.html"
"1946","29","To Each His Own","Tony Martin","","http://azlyrics.com/lyrics/tonymartin/toeachhisown.html"
"1946","30","You Won't Be Satisfied (Until You Break My Heart)","Les Brown","","http://azlyrics.com/lyrics/lesbrown/youwontbesatisfieduntilyoubreakmyheart.html"
"1946","31","Symphony","Benny Goodman","","http://azlyrics.com/lyrics/bennygoodman/symphony.html"
"1946","32","Oh! What It Seemed to Be","Charlie Spivak","","http://azlyrics.com/lyrics/charliespivak/ohwhatitseemedtobe.html"
"1946","33","Doin' What Comes Natur'lly","Freddy Martin","","http://azlyrics.com/lyrics/freddymartin/doinwhatcomesnaturlly.html"
"1946","34","The Old Lamp-Lighter","Kay Kyser","","http://azlyrics.com/lyrics/kaykyser/theoldlamplighter.html"
"1946","35","Oh! What It Seemed to Be","Dick Haymes and Helen Forrest","","http://azlyrics.com/lyrics/dickhaymesandhelenforrest/ohwhatitseemedtobe.html"
"1946","36","Rumors Are Flying","The Andrews Sisters and Les Paul Trio","","http://azlyrics.com/lyrics/andrewssistersandlespaultrio/rumorsareflying.html"
"1946","37","Dig You Later (A Hubba-Hubba-Hubba)","Perry Como","","http://azlyrics.com/lyrics/perrycomo/digyoulaterahubbahubbahubba.html"
"1946","38","Symphony","Jo Stafford","","http://azlyrics.com/lyrics/jostafford/symphony.html"
"1946","39","To Each His Own","The Modernaires and Paula Kelly","","http://azlyrics.com/lyrics/modernairesandpaulakelly/toeachhisown.html"
"1946","40","Sioux City Sue","Bing Crosby and the Jesters","","http://azlyrics.com/lyrics/bingcrosbyandthejesters/siouxcitysue.html"
"1946","41","(I Love You) For Sentimental Reasons","King Cole Trio","","http://azlyrics.com/lyrics/kingcoletrio/iloveyouforsentimentalreasons.html"
"1947","1","Near You","Francis Craig","","http://azlyrics.com/lyrics/franciscraig/nearyou.html"
"1947","2","Peg o' My Heart","The Harmonicats","","http://azlyrics.com/lyrics/harmonicats/pegomyheart.html"
"1947","3","Heartaches","Ted Weems","","http://azlyrics.com/lyrics/tedweems/heartaches.html"
"1947","4","Linda","Ray Noble Orchestra and Buddy Clark","","http://azlyrics.com/lyrics/raynobleorchestraandbuddyclark/linda.html"
"1947","5","Smoke! Smoke! Smoke! (That Cigarette)","Tex Williams","","http://azlyrics.com/lyrics/texwilliams/smokesmokesmokethatcigarette.html"
"1947","6","I Wish I Didn't Love You So","Vaughn Monroe","","http://azlyrics.com/lyrics/vaughnmonroe/iwishididntloveyouso.html"
"1947","7","Peg o' My Heart","The Three Suns","","http://azlyrics.com/lyrics/threesuns/pegomyheart.html"
"1947","8","The Anniversary Song","Al Jolson","","http://azlyrics.com/lyrics/aljolson/theanniversarysong.html"
"1947","9","Near You","Larry Green Orchestra","","http://azlyrics.com/lyrics/larrygreenorchestra/nearyou.html"
"1947","10","That's My Desire","Sammy Kaye","","http://azlyrics.com/lyrics/sammykaye/thatsmydesire.html"
"1947","11","Ballerina","Vaughn Monroe","","http://azlyrics.com/lyrics/vaughnmonroe/ballerina.html"
"1947","12","Managua, Nicaragua","Freddy Martin","","http://azlyrics.com/lyrics/freddymartin/managuanicaragua.html"
"1947","13","Mam'selle","Art Lund","","http://azlyrics.com/lyrics/artlund/mamselle.html"
"1947","14","Chi-Baba, Chi-Baba (My Bambino Go to Sleep)","Perry Como","","http://azlyrics.com/lyrics/perrycomo/chibabachibabamybambinogotosleep.html"
"1947","15","Timtayshun","Red Ingle Natural Seven and Jo Stafford","","http://azlyrics.com/lyrics/redinglenaturalsevenandjostafford/timtayshun.html"
"1947","16","I Wonder Who's Kissing Her Now","Ted Weems and Perry Como","","http://azlyrics.com/lyrics/tedweemsandperrycomo/iwonderwhoskissinghernow.html"
"1947","17","Near You","The Andrews Sisters","","http://azlyrics.com/lyrics/andrewssisters/nearyou.html"
"1947","18","The Old Lamp-Lighter","Sammy Kaye","","http://azlyrics.com/lyrics/sammykaye/theoldlamplighter.html"
"1947","19","When You Were Sweet Sixteen","Perry Como","When first I saw the love-light in your eyes\\n\nI dreamed the world held not but joy for me\\n\nAnd even though we drifted far apart\\n\nI never dream but what I dream of thee\\n\n\\n\nI love you as I never loved before\\n\nSince first I met you on the village green\\n\nCome to me or my dream of love is o'are\\n\nI love you as I loved you, when you were sweet\\n\nWhen you were sweet sixteen\\n\n\\n\n(I love you as I never loved before)\\n\n(Since first I met you on the village green)\\n\n(Come to me or my dream of love is o'are)\\n\nI love you as I loved you, when you were sweet\\n\nWhen you were sweet sixteen\\n\n(When you were sweet sixteen)\n\n\\n\\n","http://azlyrics.com/lyrics/perrycomo/whenyouweresweetsixteen.html"
"1947","20","How Soon","Jack Owens","","http://azlyrics.com/lyrics/jackowens/howsoon.html"
"1947","21","Too Fat Polka","Arthur Godfrey","","http://azlyrics.com/lyrics/arthurgodfrey/toofatpolka.html"
"1947","22","I Wonder, I Wonder, I Wonder","Eddy Howard","","http://azlyrics.com/lyrics/eddyhoward/iwonderiwonderiwonder.html"
"1947","23","My Adobe Hacienda","Eddy Howard","","http://azlyrics.com/lyrics/eddyhoward/myadobehacienda.html"
"1947","24","Huggin' and Chalkin'","Hoagy Carmichael","","http://azlyrics.com/lyrics/hoagycarmichael/hugginandchalkin.html"
"1947","25","(I Love You) For Sentimental Reasons","King Cole Trio","","http://azlyrics.com/lyrics/kingcoletrio/iloveyouforsentimentalreasons.html"
"1947","26","Ole Buttermilk Sky","Hoagy Carmichael","","http://azlyrics.com/lyrics/hoagycarmichael/olebuttermilksky.html"
"1947","27","Mam'selle","Dick Haymes","","http://azlyrics.com/lyrics/dickhaymes/mamselle.html"
"1947","28","You Do","Vaughn Monroe","","http://azlyrics.com/lyrics/vaughnmonroe/youdo.html"
"1947","29","The Anniversary Song","Guy Lombardo","","http://azlyrics.com/lyrics/guylombardo/theanniversarysong.html"
"1947","30","The Anniversary Song","Dinah Shore","","http://azlyrics.com/lyrics/dinahshore/theanniversarysong.html"
"1947","31","White Christmas","Bing Crosby","I'm dreaming of a white Christmas\\n\nJust like the ones I used to know\\n\nWhere the treetops glisten\\n\nAnd children listen\\n\nTo hear sleigh bells in the snow\\n\n\\n\nI'm dreaming of a white Christmas\\n\nWith every Christmas card I write\\n\nMay your days be merry and bright\\n\nAnd may all your Christmases be white\\n\n\\n\nI'm dreaming of a white Christmas\\n\nJust like the ones I used to know\\n\nWhere the treetops glisten\\n\nAnd children listen\\n\nTo hear sleigh bells in the snow\\n\n\\n\nI'm dreaming of a white Christmas\\n\nWith every Christmas card I write\\n\nMay your days be merry and bright\\n\nAnd may all your Christmases be white\n\n\\n\\n","http://azlyrics.com/lyrics/bingcrosby/whitechristmas.html"
"1947","32","Across the Alley from the Alamo","The Mills Brothers","","http://azlyrics.com/lyrics/millsbrothers/acrossthealleyfromthealamo.html"
"1947","33","Civilization","The Andrews Sisters and Danny Kaye","","http://azlyrics.com/lyrics/andrewssistersanddannykaye/civilization.html"
"1947","34","The Old Lamp-Lighter","Kay Kyser","","http://azlyrics.com/lyrics/kaykyser/theoldlamplighter.html"
"1947","35","Open the Door, Richard","Count Basie","","http://azlyrics.com/lyrics/countbasie/openthedoorrichard.html"
"1947","36","Peg o' My Heart","Art Lund","","http://azlyrics.com/lyrics/artlund/pegomyheart.html"
"1947","37","You Do","Margaret Whiting","","http://azlyrics.com/lyrics/margaretwhiting/youdo.html"
"1947","38","Feudin' and Fightin'","Dorothy Shay","","http://azlyrics.com/lyrics/dorothyshay/feudinandfightin.html"
"1947","39","Linda","Charlie Spivak","","http://azlyrics.com/lyrics/charliespivak/linda.html"
"1947","40","The Anniversary Song","Tex Beneke with the Glenn Miller Orchestra","","http://azlyrics.com/lyrics/texbenekewiththeglennmillerorchestra/theanniversarysong.html"
"1947","41","Managua, Nicaragua","Guy Lombardo","","http://azlyrics.com/lyrics/guylombardo/managuanicaragua.html"
"1947","42","How Soon","Vaughn Monroe","","http://azlyrics.com/lyrics/vaughnmonroe/howsoon.html"
"1947","43","The Whiffenpoof Song","Bing Crosby","","http://azlyrics.com/lyrics/bingcrosby/thewhiffenpoofsong.html"
"1947","44","Open the Door, Richard","Dusty Fletcher","","http://azlyrics.com/lyrics/dustyfletcher/openthedoorrichard.html"
"1947","45","(I Love You) For Sentimental Reasons","Eddy Howard","","http://azlyrics.com/lyrics/eddyhoward/iloveyouforsentimentalreasons.html"
"1947","46","Golden Earrings","Peggy Lee","There's a story the gypsies know is true\\n\nThat when your love wears golden earrings,\\n\nHe belongs to you.\\n\n\\n\nAn old love story that's known to very few,\\n\nBut if you wear those golden earrings,\\n\nLove will come to you.\\n\n\\n\nBy the burning fire, they will glow with ev'ry coal.\\n\nYou will hear desire whisper low inside your soul.\\n\n\\n\nSo be my gypsy;\\n\nMake love your guiding light,\\n\nAnd let this pair of golden earrings\\n\nCast their spell tonight.\n\n\\n\\n","http://azlyrics.com/lyrics/peggylee/goldenearrings.html"
"1947","47","Ole Buttermilk Sky","Kay Kyser","","http://azlyrics.com/lyrics/kaykyser/olebuttermilksky.html"
"1948","1","Twelfth Street Rag","Pee Wee Hunt","","http://azlyrics.com/lyrics/peeweehunt/twelfthstreetrag.html"
"1948","2","Mañana (Is Soon Enough for Me)","Peggy Lee","The faucet she is dripping and the fence she's fallin' down\\n\nMy pocket needs some money, so I can't go into town\\n\nMy brother isn't working and my sister doesn't care\\n\nThe car she needs a motor so I can't go anywhere\\n\n\\n\n(Ma\u00c3\u00b1ana, ma\u00c3\u00b1ana, ma\u00c3\u00b1ana is soon enough for me)\\n\n\\n\nMy mother's always working, she's working very hard\\n\nBut every time she looks for me I'm sleeping in the yard\\n\nMy mother thinks I'm lazy and maybe she is right\\n\nI'll go to work ma\u00c3\u00b1ana but I gotta sleep tonight\\n\n\\n\n(Ma\u00c3\u00b1ana, ma\u00c3\u00b1ana, ma\u00c3\u00b1ana is soon enough for me)\\n\n\\n\nOh, once I had some money but I gave it to my friend\\n\nHe said he'd pay me double, it was only for a lend\\n\nBut he said a little later that the horse she was so slow\\n\nWhy he give the horse my money is something I don't know\\n\n\\n\n(Ma\u00c3\u00b1ana, ma\u00c3\u00b1ana, ma\u00c3\u00b1ana is soon enough for me)\\n\n\\n\n(Ma\u00c3\u00b1ana, ma\u00c3\u00b1ana, ma\u00c3\u00b1ana is soon enough for me)\\n\n\\n\nMy brother took a suitcase and he went away to school\\n\nMy father said he only learned to be a silly fool\\n\nMy father said that I should learn to make a chile pot\\n\nBut then I burned the house down, the chile was too hot\\n\n\\n\n(Ma\u00c3\u00b1ana, ma\u00c3\u00b1ana, ma\u00c3\u00b1ana is soon enough for me)\\n\n\\n\nThe window she is broken and the rain is comin' in\\n\nIf someone doesn't fix it I'll be soaking to my skin\\n\nBut if we wait a day or two the rain may go away\\n\nAnd we don't need a window on such a sunny day\\n\n\\n\n(Ma\u00c3\u00b1ana, ma\u00c3\u00b1ana, ma\u00c3\u00b1ana is soon enough for me)\\n\nOba! Oba!\\n\n(Ma\u00c3\u00b1ana, ma\u00c3\u00b1ana, ma\u00c3\u00b1ana is soon enough for me)\\n\nOba! Oba!\n\n\\n\\n","http://azlyrics.com/lyrics/peggylee/maanaissoonenoughforme.html"
"1948","3","Now Is the Hour","Bing Crosby","","http://azlyrics.com/lyrics/bingcrosby/nowisthehour.html"
"1948","4","A Tree in the Meadow","Margaret Whiting","","http://azlyrics.com/lyrics/margaretwhiting/atreeinthemeadow.html"
"1948","5","My Happiness","Jon and Sandra Steele","","http://azlyrics.com/lyrics/jonandsandrasteele/myhappiness.html"
"1948","6","You Can't Be True, Dear","Ken Griffin and Jerry Wayne","","http://azlyrics.com/lyrics/kengriffinandjerrywayne/youcantbetruedear.html"
"1948","7","Little White Lies","Dick Haymes","","http://azlyrics.com/lyrics/dickhaymes/littlewhitelies.html"
"1948","8","You Call Everybody Darlin'","Al Trace","","http://azlyrics.com/lyrics/altrace/youcalleverybodydarlin.html"
"1948","9","My Happiness","The Pied Pipers","","http://azlyrics.com/lyrics/piedpipers/myhappiness.html"
"1948","10","I'm Looking Over a Four Leaf Clover","Art Mooney","","http://azlyrics.com/lyrics/artmooney/imlookingoverafourleafclover.html"
"1948","11","It's Magic","Doris Day","You sigh, a song begins,\\n\nYou speak and I hear violins\\n\nIt's magic\\n\nThe stars desert the skies\\n\nAnd rush to nestle in your eyes\\n\nIt's magic\\n\n\\n\nWithout a golden wand\\n\nOr mystic charms,\\n\nFantastic things begin\\n\nWhen I am in your arms\\n\n\\n\nWhen we walk hand in hand\\n\nThe world becomes a wonderland\\n\nIt's magic\\n\nHow else can I explain\\n\nThose rainbows when there is no rain\\n\nIt's magic...\\n\n\\n\nWhy do I tell myself\\n\nThese things that happen are all really true\\n\nWhen in my heart I know\\n\nThe magic is my love for you\n\n\\n\\n","http://azlyrics.com/lyrics/dorisday/itsmagic.html"
"1948","12","Maybe You'll Be There","Gordon Jenkins","","http://azlyrics.com/lyrics/gordonjenkins/maybeyoullbethere.html"
"1948","13","Ballerina","Vaughn Monroe","","http://azlyrics.com/lyrics/vaughnmonroe/ballerina.html"
"1948","14","Nature Boy","King Cole","","http://azlyrics.com/lyrics/kingcole/natureboy.html"
"1948","15","Woody Woodpecker","Kay Kyser","","http://azlyrics.com/lyrics/kaykyser/woodywoodpecker.html"
"1948","16","Love Somebody","Doris Day and Buddy Clark","","http://azlyrics.com/lyrics/dorisdayandbuddyclark/lovesomebody.html"
"1948","17","Now Is the Hour","Gracie Fields","","http://azlyrics.com/lyrics/graciefields/nowisthehour.html"
"1948","18","Beg Your Pardon","Francis Craig","","http://azlyrics.com/lyrics/franciscraig/begyourpardon.html"
"1948","19","You Can't Be True, Dear","Ken Griffin","","http://azlyrics.com/lyrics/kengriffin/youcantbetruedear.html"
"1948","20","Toolie Oolie Doolie","The Andrews Sisters","","http://azlyrics.com/lyrics/andrewssisters/toolieooliedoolie.html"
"1948","21","Buttons and Bows","Dinah Shore","","http://azlyrics.com/lyrics/dinahshore/buttonsandbows.html"
"1948","22","Golden Earrings","Peggy Lee","There's a story the gypsies know is true\\n\nThat when your love wears golden earrings,\\n\nHe belongs to you.\\n\n\\n\nAn old love story that's known to very few,\\n\nBut if you wear those golden earrings,\\n\nLove will come to you.\\n\n\\n\nBy the burning fire, they will glow with ev'ry coal.\\n\nYou will hear desire whisper low inside your soul.\\n\n\\n\nSo be my gypsy;\\n\nMake love your guiding light,\\n\nAnd let this pair of golden earrings\\n\nCast their spell tonight.\n\n\\n\\n","http://azlyrics.com/lyrics/peggylee/goldenearrings.html"
"1948","23","Baby Face","Art Mooney","","http://azlyrics.com/lyrics/artmooney/babyface.html"
"1948","24","Too Fat Polka","Arthur Godfrey","","http://azlyrics.com/lyrics/arthurgodfrey/toofatpolka.html"
"1948","25","Because","Perry Como","Because, you come to me, \\n\nwith naught save love, \\n\nand hold my hand and lift mine eyes above, \\n\na wider world of hope and joy I see, \\n\nbecause you come to me! \\n\n\\n\nBecause you speak to me in accent sweet, \\n\nI find the roses waking 'round my feet, \\n\nand I am led through tears and joy to thee, \\n\nbecause you speak to me! \\n\n\\n\nBecause God made thee mine, \\n\nI'll cherish thee, \\n\nthrough light and darkness through all time to be, \\n\nand pray His love may make our love divine, \\n\nbecause God made thee mine!\n\n\\n\\n","http://azlyrics.com/lyrics/perrycomo/because.html"
"1948","26","My Happiness","Ella Fitzgerald","Evening shadows make me blue\\n\nWhen each weary day is through\\n\nHow I long to be with you\\n\nMy happiness\\n\n\\n\nEvery day I reminisce\\n\nDreaming of your tender kiss\\n\nAlways thinking how I miss\\n\nMy happiness\\n\n\\n\nA million years, it seems\\n\nHave gone by since we shared our dreams\\n\nBut, I'll hold you again\\n\nThere'll be no blue memories then\\n\n\\n\nWhether skies are grey or blue\\n\nAny place on Earth'll do\\n\nJust as long as I'm with you\\n\nMy happiness\\n\n\\n\nEvening shadows make me blue\\n\nWhen each weary day is through\\n\nHow I long to be with you\\n\nMy happiness\\n\n\\n\nEvery day I reminisce\\n\nDreaming of your tender kiss\\n\nAlways thinking how I miss\\n\nMy happiness\\n\n\\n\nA million years, it seems\\n\nHave gone by since we shared our dreams\\n\nBut, I'll hold you again\\n\nThere'll be no blue memories then\\n\n\\n\nWhether skies are grey or blue\\n\nWhether skies are grey or blue\\n\nAny place on Earth'll do\\n\nAny place on Earth'll do\\n\nJust as long as I'm with you\\n\nLong as I'm with you\\n\nMy happiness\n\n\\n\\n","http://azlyrics.com/lyrics/ellafitzgerald/myhappiness.html"
"1948","27","Serenade of the Bells","Sammy Kaye","","http://azlyrics.com/lyrics/sammykaye/serenadeofthebells.html"
"1948","28","Until","Tommy Dorsey","","http://azlyrics.com/lyrics/tommydorsey/until.html"
"1948","29","William Tell Overture","Spike Jones","","http://azlyrics.com/lyrics/spikejones/williamtelloverture.html"
"1948","30","Beg Your Pardon","Frankie Carle","","http://azlyrics.com/lyrics/frankiecarle/begyourpardon.html"
"1948","31","St. Louis Blues March","Tex Beneke","","http://azlyrics.com/lyrics/texbeneke/stlouisbluesmarch.html"
"1948","32","On a Slow Boat to China","Kay Kyser","","http://azlyrics.com/lyrics/kaykyser/onaslowboattochina.html"
"1948","33","Woody Woodpecker","The Sportsmen and Mel Blanc","","http://azlyrics.com/lyrics/sportsmenandmelblanc/woodywoodpecker.html"
"1948","34","I'll Dance at Your Wedding","Ray Noble and Buddy Clark","","http://azlyrics.com/lyrics/raynobleandbuddyclark/illdanceatyourwedding.html"
"1948","35","The Dicky-Bird Song","Freddy Martin","","http://azlyrics.com/lyrics/freddymartin/thedickybirdsong.html"
"1948","36","I'm Looking Over a Four Leaf Clover","Russ Morgan and Milt Herth","","http://azlyrics.com/lyrics/russmorganandmiltherth/imlookingoverafourleafclover.html"
"1948","37","How Soon","Vaughn Monroe","","http://azlyrics.com/lyrics/vaughnmonroe/howsoon.html"
"1948","38","Serenade of the Bells","Jo Stafford","","http://azlyrics.com/lyrics/jostafford/serenadeofthebells.html"
"1949","1","Riders in the Sky","Vaughn Monroe","","http://azlyrics.com/lyrics/vaughnmonroe/ridersinthesky.html"
"1949","2","That Lucky Old Sun","Frankie Laine","","http://azlyrics.com/lyrics/frankielaine/thatluckyoldsun.html"
"1949","3","You're Breaking My Heart","Vic Damone","","http://azlyrics.com/lyrics/vicdamone/yourebreakingmyheart.html"
"1949","4","Some Enchanted Evening","Perry Como","","http://azlyrics.com/lyrics/perrycomo/someenchantedevening.html"
"1949","5","Slippin' Around","Jimmy Wakely and Margaret Whiting","","http://azlyrics.com/lyrics/jimmywakelyandmargaretwhiting/slippinaround.html"
"1949","6","I Can Dream, Can't I?","The Andrews Sisters and Gordon Jenkins","","http://azlyrics.com/lyrics/andrewssistersandgordonjenkins/icandreamcanti.html"
"1949","7","Cruising Down the River","Russ Morgan Orchestra","","http://azlyrics.com/lyrics/russmorganorchestra/cruisingdowntheriver.html"
"1949","8","A Little Bird Told Me","Evelyn Knight and The Stardusters","","http://azlyrics.com/lyrics/evelynknightandthestardusters/alittlebirdtoldme.html"
"1949","9","Mule Train","Frankie Laine","","http://azlyrics.com/lyrics/frankielaine/muletrain.html"
"1949","10","Jealous Heart","Al Morgan","","http://azlyrics.com/lyrics/almorgan/jealousheart.html"
"1949","11","Cruising Down the River","Blue Barron Orchestra","","http://azlyrics.com/lyrics/bluebarronorchestra/cruisingdowntheriver.html"
"1949","12","Someday","Vaughn Monroe","","http://azlyrics.com/lyrics/vaughnmonroe/someday.html"
"1949","13","Again","Gordon Jenkins Orchestra","","http://azlyrics.com/lyrics/gordonjenkinsorchestra/again.html"
"1949","14","Forever and Ever","Russ Morgan","","http://azlyrics.com/lyrics/russmorgan/foreverandever.html"
"1949","15","Forever and Ever","Perry Como","","http://azlyrics.com/lyrics/perrycomo/foreverandever.html"
"1949","16","Don't Cry, Joe","Gordon Jenkins Orchestra","","http://azlyrics.com/lyrics/gordonjenkinsorchestra/dontcryjoe.html"
"1949","17","Room Full of Roses","Sammy Kaye","","http://azlyrics.com/lyrics/sammykaye/roomfullofroses.html"
"1949","18","Far Away Places","Bing Crosby and Ken Darby Choir","","http://azlyrics.com/lyrics/bingcrosbyandkendarbychoir/farawayplaces.html"
"1949","19","Buttons and Bows","Dinah Shore","","http://azlyrics.com/lyrics/dinahshore/buttonsandbows.html"
"1949","20","Galway Bay","Bing Crosby","","http://azlyrics.com/lyrics/bingcrosby/galwaybay.html"
"1949","21","Red Roses for a Blue Lady","Vaughn Monroe","","http://azlyrics.com/lyrics/vaughnmonroe/redrosesforabluelady.html"
"1949","22","So Tired","Russ Morgan","","http://azlyrics.com/lyrics/russmorgan/sotired.html"
"1949","23","Powder Your Face with Sunshine","Evelyn Knight","","http://azlyrics.com/lyrics/evelynknight/powderyourfacewithsunshine.html"
"1949","24","Baby, It's Cold Outside","Johnny Mercer and Margaret Whiting","","http://azlyrics.com/lyrics/johnnymercerandmargaretwhiting/babyitscoldoutside.html"
"1949","25","Whispering Hope","Jo Stafford and Gordon MacRae","","http://azlyrics.com/lyrics/jostaffordandgordonmacrae/whisperinghope.html"
"1949","26","Maybe It's Because","Dick Haymes","","http://azlyrics.com/lyrics/dickhaymes/maybeitsbecause.html"
"1949","27","Careless Hands","Sammy Kaye Orchestra","","http://azlyrics.com/lyrics/sammykayeorchestra/carelesshands.html"
"1949","28","'A' You're Adorable","Perry Como and The Fontane Sisters","","http://azlyrics.com/lyrics/perrycomoandthefontanesisters/ayoureadorable.html"
