"Year","Rank","Song Title","Artist(s)"
"01/05/2008","14","Good Life","Kanye West Featuring T-Pain"
"01/05/2008","20","Stronger","Kanye West"
"01/05/2008","36","Flashing Lights","Kanye West Featuring Dwele"
"01/12/2008","14","Stronger","Kanye West"
"01/12/2008","16","Good Life","Kanye West Featuring T-Pain"
"01/12/2008","49","Flashing Lights","Kanye West Featuring Dwele"
"01/19/2008","19","Good Life","Kanye West Featuring T-Pain"
"01/19/2008","22","Stronger","Kanye West"
"01/19/2008","35","Flashing Lights","Kanye West Featuring Dwele"
"01/26/2008","25","Good Life","Kanye West Featuring T-Pain"
"01/26/2008","30","Flashing Lights","Kanye West Featuring Dwele"
"01/26/2008","34","Stronger","Kanye West"
"02/02/2008","29","Flashing Lights","Kanye West Featuring Dwele"
"02/02/2008","32","Good Life","Kanye West Featuring T-Pain"
"02/02/2008","38","Stronger","Kanye West"
"02/09/2008","30","Flashing Lights","Kanye West Featuring Dwele"
"02/09/2008","37","Good Life","Kanye West Featuring T-Pain"
"02/09/2008","46","Stronger","Kanye West"
"02/09/2008","81","Wanna Be Startin' Somethin' 2008","Michael Jackson With Akon"
"02/16/2008","33","Flashing Lights","Kanye West Featuring Dwele"
"02/16/2008","50","Good Life","Kanye West Featuring T-Pain"
"02/16/2008","92","Wanna Be Startin' Somethin' 2008","Michael Jackson With Akon"
"02/23/2008","36","Flashing Lights","Kanye West Featuring Dwele"
"02/23/2008","99","Wanna Be Startin' Somethin' 2008","Michael Jackson With Akon"
"03/01/2008","33","Flashing Lights","Kanye West Featuring Dwele"
"03/08/2008","38","Flashing Lights","Kanye West Featuring Dwele"
"03/15/2008","37","Flashing Lights","Kanye West Featuring Dwele"
"03/22/2008","46","Flashing Lights","Kanye West Featuring Dwele"
"03/29/2008","54","Flashing Lights","Kanye West Featuring Dwele"
"04/05/2008","62","Flashing Lights","Kanye West Featuring Dwele"
"04/12/2008","62","Flashing Lights","Kanye West Featuring Dwele"
"04/19/2008","64","Flashing Lights","Kanye West Featuring Dwele"
"05/03/2008","98","American Boy","Estelle Featuring Kanye West"
"05/10/2008","93","American Boy","Estelle Featuring Kanye West"
"05/17/2008","71","American Boy","Estelle Featuring Kanye West"
"05/24/2008","64","American Boy","Estelle Featuring Kanye West"
"05/31/2008","63","American Boy","Estelle Featuring Kanye West"
"06/07/2008","65","American Boy","Estelle Featuring Kanye West"
"06/07/2008","96","Homecoming","Kanye West Featuring Chris Martin"
"06/14/2008","54","American Boy","Estelle Featuring Kanye West"
"06/14/2008","83","Homecoming","Kanye West Featuring Chris Martin"
"06/21/2008","36","Put On","Young Jeezy Featuring Kanye West"
"06/21/2008","52","American Boy","Estelle Featuring Kanye West"
"06/21/2008","71","Homecoming","Kanye West Featuring Chris Martin"
"06/28/2008","35","American Boy","Estelle Featuring Kanye West"
"06/28/2008","48","Put On","Young Jeezy Featuring Kanye West"
"06/28/2008","69","Homecoming","Kanye West Featuring Chris Martin"
"07/05/2008","37","American Boy","Estelle Featuring Kanye West"
"07/05/2008","58","Put On","Young Jeezy Featuring Kanye West"
"07/05/2008","73","Homecoming","Kanye West Featuring Chris Martin"
"07/12/2008","41","American Boy","Estelle Featuring Kanye West"
"07/12/2008","47","Put On","Young Jeezy Featuring Kanye West"
"07/12/2008","78","Homecoming","Kanye West Featuring Chris Martin"
"07/19/2008","40","American Boy","Estelle Featuring Kanye West"
"07/19/2008","42","Put On","Young Jeezy Featuring Kanye West"
"07/19/2008","100","Homecoming","Kanye West Featuring Chris Martin"
"07/26/2008","31","American Boy","Estelle Featuring Kanye West"
"07/26/2008","35","Put On","Young Jeezy Featuring Kanye West"
"08/02/2008","26","American Boy","Estelle Featuring Kanye West"
"08/02/2008","28","Put On","Young Jeezy Featuring Kanye West"
"08/09/2008","16","American Boy","Estelle Featuring Kanye West"
"08/09/2008","24","Put On","Young Jeezy Featuring Kanye West"
"08/16/2008","12","American Boy","Estelle Featuring Kanye West"
"08/16/2008","22","Put On","Young Jeezy Featuring Kanye West"
"08/16/2008","76","Just Dance","Lady Gaga Featuring Colby O'Donis"
"08/23/2008","12","American Boy","Estelle Featuring Kanye West"
"08/23/2008","18","Put On","Young Jeezy Featuring Kanye West"
"08/23/2008","87","Just Dance","Lady Gaga Featuring Colby O'Donis"
"08/30/2008","11","American Boy","Estelle Featuring Kanye West"
"08/30/2008","13","Put On","Young Jeezy Featuring Kanye West"
"09/06/2008","12","Put On","Young Jeezy Featuring Kanye West"
"09/06/2008","37","American Boy","Estelle Featuring Kanye West"
"09/06/2008","74","Just Dance","Lady Gaga Featuring Colby O'Donis"
"09/13/2008","12","Put On","Young Jeezy Featuring Kanye West"
"09/13/2008","57","American Boy","Estelle Featuring Kanye West"
"09/13/2008","79","Just Dance","Lady Gaga Featuring Colby O'Donis"
"09/20/2008","18","Put On","Young Jeezy Featuring Kanye West"
"09/20/2008","53","American Boy","Estelle Featuring Kanye West"
"09/20/2008","80","Just Dance","Lady Gaga Featuring Colby O'Donis"
"09/27/2008","5","Swagga Like Us","Jay-Z & T.I. Featuring Kanye West & Lil Wayne"
"09/27/2008","9","American Boy","Estelle Featuring Kanye West"
"09/27/2008","24","Put On","Young Jeezy Featuring Kanye West"
"09/27/2008","75","Just Dance","Lady Gaga Featuring Colby O'Donis"
