"Year","Rank","Song Title","Artist(s)"
"01/06/1996","6","Free As A Bird","The Beatles"
"01/06/1996","56","You Are Not Alone","Michael Jackson"
"01/13/1996","15","Free As A Bird","The Beatles"
"01/13/1996","59","You Are Not Alone","Michael Jackson"
"01/20/1996","32","Free As A Bird","The Beatles"
"01/27/1996","57","Free As A Bird","The Beatles"
"02/03/1996","63","Free As A Bird","The Beatles"
"02/10/1996","77","Free As A Bird","The Beatles"
"02/17/1996","91","Free As A Bird","The Beatles"
"02/24/1996","98","Free As A Bird","The Beatles"
"03/02/1996","93","Free As A Bird","The Beatles"
"03/09/1996","99","Free As A Bird","The Beatles"
"03/23/1996","11","Real Love","The Beatles"
"03/30/1996","26","Real Love","The Beatles"
"04/06/1996","21","Real Love","The Beatles"
"04/13/1996","54","Real Love","The Beatles"
"04/20/1996","60","Real Love","The Beatles"
"04/27/1996","70","Real Love","The Beatles"
"05/04/1996","88","Real Love","The Beatles"
"06/08/1996","30","They Don't Care About Us","Michael Jackson"
"06/15/1996","30","They Don't Care About Us","Michael Jackson"
"06/22/1996","30","They Don't Care About Us","Michael Jackson"
"06/29/1996","30","They Don't Care About Us","Michael Jackson"
"07/06/1996","38","They Don't Care About Us","Michael Jackson"
"07/13/1996","44","They Don't Care About Us","Michael Jackson"
"07/20/1996","45","They Don't Care About Us","Michael Jackson"
"07/27/1996","58","They Don't Care About Us","Michael Jackson"
"08/03/1996","65","They Don't Care About Us","Michael Jackson"
"08/10/1996","72","They Don't Care About Us","Michael Jackson"
"08/17/1996","86","They Don't Care About Us","Michael Jackson"
"08/24/1996","89","They Don't Care About Us","Michael Jackson"
"08/31/1996","97","They Don't Care About Us","Michael Jackson"
