"Year","Rank","Song Title","Artist(s)"
"01/04/2014","16","Do What U Want","Lady Gaga Featuring R. Kelly"
"01/04/2014","25","Applause","Lady Gaga"
"01/04/2014","87","Bound 2","Kanye West"
"01/11/2014","23","Do What U Want","Lady Gaga Featuring R. Kelly"
"01/11/2014","26","Applause","Lady Gaga"
"01/11/2014","99","Bound 2","Kanye West"
"01/18/2014","17","Do What U Want","Lady Gaga Featuring R. Kelly"
"01/18/2014","26","Applause","Lady Gaga"
"01/25/2014","19","Do What U Want","Lady Gaga Featuring R. Kelly"
"01/25/2014","37","Applause","Lady Gaga"
"02/01/2014","19","Do What U Want","Lady Gaga Featuring R. Kelly"
"02/01/2014","48","Applause","Lady Gaga"
"02/08/2014","25","Do What U Want","Lady Gaga Featuring R. Kelly"
"02/15/2014","36","Do What U Want","Lady Gaga Featuring R. Kelly"
"02/22/2014","50","Do What U Want","Lady Gaga Featuring R. Kelly"
"03/01/2014","68","Do What U Want","Lady Gaga Featuring R. Kelly"
"03/08/2014","86","Do What U Want","Lady Gaga Featuring R. Kelly"
"03/15/2014","95","Do What U Want","Lady Gaga Featuring R. Kelly"
"03/22/2014","78","Sanctified","Rick Ross Featuring Kanye West & Big Sean"
"04/12/2014","76","G.U.Y.","Lady Gaga"
"05/10/2014","100","I Won","Future Featuring Kanye West"
"05/17/2014","20","Love Never Felt So Good","Michael Jackson & Justin Timberlake"
"05/24/2014","22","Love Never Felt So Good","Michael Jackson & Justin Timberlake"
"05/31/2014","9","Love Never Felt So Good","Michael Jackson & Justin Timberlake"
"05/31/2014","100","I Won","Future Featuring Kanye West"
"06/07/2014","14","Billie Jean","Michael Jackson"
"06/07/2014","16","Love Never Felt So Good","Michael Jackson & Justin Timberlake"
"06/07/2014","45","Slave To The Rhythm","Michael Jackson"
"06/14/2014","27","Love Never Felt So Good","Michael Jackson & Justin Timberlake"
"06/14/2014","98","I Won","Future Featuring Kanye West"
"06/21/2014","29","Love Never Felt So Good","Michael Jackson & Justin Timberlake"
"06/28/2014","33","Love Never Felt So Good","Michael Jackson & Justin Timberlake"
"07/05/2014","36","Love Never Felt So Good","Michael Jackson & Justin Timberlake"
"07/12/2014","42","Love Never Felt So Good","Michael Jackson & Justin Timberlake"
"07/19/2014","54","Love Never Felt So Good","Michael Jackson & Justin Timberlake"
"07/26/2014","55","Love Never Felt So Good","Michael Jackson & Justin Timberlake"
"08/02/2014","63","Love Never Felt So Good","Michael Jackson & Justin Timberlake"
"08/09/2014","69","Love Never Felt So Good","Michael Jackson & Justin Timberlake"
"08/16/2014","74","Love Never Felt So Good","Michael Jackson & Justin Timberlake"
"08/23/2014","77","Love Never Felt So Good","Michael Jackson & Justin Timberlake"
"08/30/2014","73","Love Never Felt So Good","Michael Jackson & Justin Timberlake"
"09/06/2014","76","Love Never Felt So Good","Michael Jackson & Justin Timberlake"
"09/13/2014","79","Love Never Felt So Good","Michael Jackson & Justin Timberlake"
"09/20/2014","81","Love Never Felt So Good","Michael Jackson & Justin Timberlake"
"09/27/2014","88","Love Never Felt So Good","Michael Jackson & Justin Timberlake"
"11/15/2014","35","Thriller","Michael Jackson"
