"Year","Rank","Song Title","Artist(s)"
"09/08/2001","34","You Rock My World","Michael Jackson"
"09/15/2001","11","You Rock My World","Michael Jackson"
"09/22/2001","10","You Rock My World","Michael Jackson"
"09/29/2001","14","You Rock My World","Michael Jackson"
"10/06/2001","12","You Rock My World","Michael Jackson"
"10/13/2001","13","You Rock My World","Michael Jackson"
"10/20/2001","22","You Rock My World","Michael Jackson"
"10/27/2001","29","You Rock My World","Michael Jackson"
"11/03/2001","51","You Rock My World","Michael Jackson"
"11/10/2001","57","You Rock My World","Michael Jackson"
"11/17/2001","60","Butterflies","Michael Jackson"
"11/17/2001","64","You Rock My World","Michael Jackson"
"11/24/2001","49","Butterflies","Michael Jackson"
"11/24/2001","77","You Rock My World","Michael Jackson"
"12/01/2001","33","Butterflies","Michael Jackson"
"12/01/2001","80","You Rock My World","Michael Jackson"
"12/08/2001","32","Butterflies","Michael Jackson"
"12/08/2001","83","You Rock My World","Michael Jackson"
"12/15/2001","30","Butterflies","Michael Jackson"
"12/15/2001","83","You Rock My World","Michael Jackson"
"12/22/2001","26","Butterflies","Michael Jackson"
"12/22/2001","87","You Rock My World","Michael Jackson"
"12/29/2001","21","Butterflies","Michael Jackson"
"12/29/2001","90","You Rock My World","Michael Jackson"
