"Year","Rank","Song Title","Artist(s)"
"08/08/1987","37","I Just Can't Stop Loving You","Michael Jackson With Siedah Garrett"
"08/15/1987","16","I Just Can't Stop Loving You","Michael Jackson With Siedah Garrett"
"08/22/1987","10","I Just Can't Stop Loving You","Michael Jackson With Siedah Garrett"
"08/29/1987","6","I Just Can't Stop Loving You","Michael Jackson With Siedah Garrett"
"09/05/1987","2","I Just Can't Stop Loving You","Michael Jackson With Siedah Garrett"
"09/12/1987","2","I Just Can't Stop Loving You","Michael Jackson With Siedah Garrett"
"09/19/1987","1","I Just Can't Stop Loving You","Michael Jackson With Siedah Garrett"
"09/19/1987","40","Bad","Michael Jackson"
"09/26/1987","3","I Just Can't Stop Loving You","Michael Jackson With Siedah Garrett"
"09/26/1987","29","Bad","Michael Jackson"
"10/03/1987","12","I Just Can't Stop Loving You","Michael Jackson With Siedah Garrett"
"10/03/1987","16","Bad","Michael Jackson"
"10/10/1987","8","Bad","Michael Jackson"
"10/10/1987","23","I Just Can't Stop Loving You","Michael Jackson With Siedah Garrett"
"10/17/1987","4","Bad","Michael Jackson"
"10/17/1987","39","I Just Can't Stop Loving You","Michael Jackson With Siedah Garrett"
"10/24/1987","1","Bad","Michael Jackson"
"10/24/1987","62","I Just Can't Stop Loving You","Michael Jackson With Siedah Garrett"
"10/31/1987","1","Bad","Michael Jackson"
"10/31/1987","77","I Just Can't Stop Loving You","Michael Jackson With Siedah Garrett"
"11/07/1987","5","Bad","Michael Jackson"
"11/07/1987","99","I Just Can't Stop Loving You","Michael Jackson With Siedah Garrett"
"11/14/1987","11","Bad","Michael Jackson"
"11/21/1987","24","Bad","Michael Jackson"
"11/21/1987","44","The Way You Make Me Feel","Michael Jackson"
"11/28/1987","35","The Way You Make Me Feel","Michael Jackson"
"11/28/1987","37","Bad","Michael Jackson"
"12/05/1987","29","The Way You Make Me Feel","Michael Jackson"
"12/05/1987","55","Bad","Michael Jackson"
"12/12/1987","17","The Way You Make Me Feel","Michael Jackson"
"12/12/1987","71","Bad","Michael Jackson"
"12/19/1987","11","The Way You Make Me Feel","Michael Jackson"
"12/19/1987","100","Bad","Michael Jackson"
"12/26/1987","7","The Way You Make Me Feel","Michael Jackson"
