"Year","Rank","Song Title","Artist(s)"
"03/23/1991","67","Silent Lucidity","Queensryche"
"03/30/1991","52","Silent Lucidity","Queensryche"
"04/06/1991","43","Silent Lucidity","Queensryche"
"04/13/1991","27","Silent Lucidity","Queensryche"
"04/20/1991","22","Silent Lucidity","Queensryche"
"04/27/1991","18","Silent Lucidity","Queensryche"
"05/04/1991","13","Silent Lucidity","Queensryche"
"05/11/1991","11","Silent Lucidity","Queensryche"
"05/18/1991","11","Silent Lucidity","Queensryche"
"05/25/1991","10","Silent Lucidity","Queensryche"
"06/01/1991","9","Silent Lucidity","Queensryche"
"06/08/1991","12","Silent Lucidity","Queensryche"
"06/15/1991","23","Silent Lucidity","Queensryche"
"06/22/1991","34","Silent Lucidity","Queensryche"
"06/29/1991","52","Silent Lucidity","Queensryche"
"07/06/1991","69","Silent Lucidity","Queensryche"
"07/13/1991","91","Silent Lucidity","Queensryche"
"11/23/1991","35","Black Or White","Michael Jackson"
"11/30/1991","3","Black Or White","Michael Jackson"
"12/07/1991","1","Black Or White","Michael Jackson"
"12/14/1991","1","Black Or White","Michael Jackson"
"12/21/1991","1","Black Or White","Michael Jackson"
"12/28/1991","1","Black Or White","Michael Jackson"
