"Year","Rank","Song Title","Artist(s)"
"01/07/2012","5","Ni**as in Paris","Jay Z Kanye West"
"01/07/2012","39","Marry The Night","Lady Gaga"
"01/14/2012","7","Ni**as in Paris","Jay Z Kanye West"
"01/14/2012","37","Marry The Night","Lady Gaga"
"01/21/2012","7","Ni**as in Paris","Jay Z Kanye West"
"01/21/2012","39","Marry The Night","Lady Gaga"
"01/21/2012","98","Gotta Have It","Jay Z Kanye West"
"01/28/2012","7","Ni**as in Paris","Jay Z Kanye West"
"01/28/2012","53","Marry The Night","Lady Gaga"
"01/28/2012","84","Gotta Have It","Jay Z Kanye West"
"02/04/2012","9","Ni**as in Paris","Jay Z Kanye West"
"02/04/2012","65","Marry The Night","Lady Gaga"
"02/04/2012","79","Gotta Have It","Jay Z Kanye West"
"02/04/2012","100","No Church In The Wild","Jay Z Kanye West Featuring Frank Ocean"
"02/11/2012","11","Ni**as in Paris","Jay Z Kanye West"
"02/11/2012","74","Gotta Have It","Jay Z Kanye West"
"02/11/2012","86","No Church In The Wild","Jay Z Kanye West Featuring Frank Ocean"
"02/11/2012","93","Marry The Night","Lady Gaga"
"02/18/2012","11","Ni**as in Paris","Jay Z Kanye West"
"02/18/2012","72","Gotta Have It","Jay Z Kanye West"
"02/18/2012","96","No Church In The Wild","Jay Z Kanye West Featuring Frank Ocean"
"02/25/2012","20","Ni**as in Paris","Jay Z Kanye West"
"02/25/2012","69","Gotta Have It","Jay Z Kanye West"
"02/25/2012","72","No Church In The Wild","Jay Z Kanye West Featuring Frank Ocean"
"03/03/2012","24","Ni**as in Paris","Jay Z Kanye West"
"03/03/2012","78","Gotta Have It","Jay Z Kanye West"
"03/03/2012","98","No Church In The Wild","Jay Z Kanye West Featuring Frank Ocean"
"03/10/2012","25","Ni**as in Paris","Jay Z Kanye West"
"03/10/2012","84","Gotta Have It","Jay Z Kanye West"
"03/17/2012","30","Ni**as in Paris","Jay Z Kanye West"
"03/17/2012","84","Gotta Have It","Jay Z Kanye West"
"03/24/2012","23","Ni**as in Paris","Jay Z Kanye West"
"03/24/2012","85","Gotta Have It","Jay Z Kanye West"
"03/31/2012","26","Ni**as in Paris","Jay Z Kanye West"
"03/31/2012","94","Gotta Have It","Jay Z Kanye West"
"04/07/2012","28","Ni**as in Paris","Jay Z Kanye West"
"04/14/2012","37","Ni**as in Paris","Jay Z Kanye West"
"04/21/2012","38","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"04/21/2012","45","Ni**as in Paris","Jay Z Kanye West"
"04/28/2012","21","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"04/28/2012","45","Ni**as in Paris","Jay Z Kanye West"
"05/05/2012","39","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"05/05/2012","86","Way Too Cold","Kanye West Featuring DJ Khaled"
"05/12/2012","39","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"05/19/2012","36","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"05/26/2012","27","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"06/02/2012","26","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"06/09/2012","24","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"06/16/2012","23","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"06/23/2012","21","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"06/30/2012","19","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"07/07/2012","15","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"07/14/2012","15","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"07/21/2012","14","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"07/21/2012","78","I Wish You Would","DJ Khaled Featuring Kanye West & Rick Ross"
"07/28/2012","15","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"08/04/2012","13","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"08/11/2012","14","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"08/11/2012","89","New God Flow","Pusha T Kanye West"
"08/11/2012","91","Birthday Song","2 Chainz Featuring Kanye West"
"08/18/2012","16","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"08/25/2012","20","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"09/01/2012","19","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"09/01/2012","100","Birthday Song","2 Chainz Featuring Kanye West"
"09/08/2012","19","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"09/08/2012","91","Birthday Song","2 Chainz Featuring Kanye West"
"09/08/2012","99","I Wish You Would","DJ Khaled Featuring Kanye West & Rick Ross"
"09/15/2012","19","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"09/15/2012","79","Birthday Song","2 Chainz Featuring Kanye West"
"09/22/2012","18","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"09/22/2012","55","Clique","Kanye West, Jay-Z, Big Sean"
"09/22/2012","70","Birthday Song","2 Chainz Featuring Kanye West"
"09/29/2012","12","Clique","Kanye West, Jay-Z, Big Sean"
"09/29/2012","20","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"09/29/2012","65","Birthday Song","2 Chainz Featuring Kanye West"
"10/06/2012","17","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"10/06/2012","18","Clique","Kanye West, Jay-Z, Big Sean"
"10/06/2012","57","Birthday Song","2 Chainz Featuring Kanye West"
"10/06/2012","70","To The World","Kanye West, R. Kelly"
"10/13/2012","20","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"10/13/2012","22","Clique","Kanye West, Jay-Z, Big Sean"
"10/13/2012","56","Birthday Song","2 Chainz Featuring Kanye West"
"10/13/2012","100","To The World","Kanye West, R. Kelly"
"10/20/2012","19","Clique","Kanye West, Jay-Z, Big Sean"
"10/20/2012","23","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"10/20/2012","56","Birthday Song","2 Chainz Featuring Kanye West"
"10/27/2012","18","Clique","Kanye West, Jay-Z, Big Sean"
"10/27/2012","27","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"10/27/2012","52","Birthday Song","2 Chainz Featuring Kanye West"
"11/03/2012","18","Clique","Kanye West, Jay-Z, Big Sean"
"11/03/2012","33","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"11/03/2012","49","Birthday Song","2 Chainz Featuring Kanye West"
"11/10/2012","16","Clique","Kanye West, Jay-Z, Big Sean"
"11/10/2012","38","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"11/10/2012","47","Birthday Song","2 Chainz Featuring Kanye West"
"11/17/2012","16","Clique","Kanye West, Jay-Z, Big Sean"
"11/17/2012","41","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"11/17/2012","48","Birthday Song","2 Chainz Featuring Kanye West"
"11/24/2012","15","Clique","Kanye West, Jay-Z, Big Sean"
"11/24/2012","47","Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"11/24/2012","53","Birthday Song","2 Chainz Featuring Kanye West"
"12/01/2012","15","Clique","Kanye West, Jay-Z, Big Sean"
"12/01/2012","55","Birthday Song","2 Chainz Featuring Kanye West"
"12/08/2012","16","Clique","Kanye West, Jay-Z, Big Sean"
"12/08/2012","61","Birthday Song","2 Chainz Featuring Kanye West"
"12/15/2012","18","Clique","Kanye West, Jay-Z, Big Sean"
"12/15/2012","60","Birthday Song","2 Chainz Featuring Kanye West"
"12/22/2012","22","Clique","Kanye West, Jay-Z, Big Sean"
"12/22/2012","60","Birthday Song","2 Chainz Featuring Kanye West"
"12/29/2012","22","Clique","Kanye West, Jay-Z, Big Sean"
"12/29/2012","62","Birthday Song","2 Chainz Featuring Kanye West"
