"Year","Rank","Song Title","Artist(s)"
"01/02/2010","3","Bad Romance","Lady Gaga"
"01/02/2010","15","Paparazzi","Lady Gaga"
"01/02/2010","16","Forever","Drake Featuring Kanye West, Lil Wayne & Eminem"
"01/02/2010","37","Run This Town","Jay-Z, Rihanna & Kanye West"
"01/02/2010","38","Telephone","Lady Gaga Featuring Beyonce"
"01/02/2010","100","Video Phone","Beyonce Featuring Lady Gaga"
"01/09/2010","3","Bad Romance","Lady Gaga"
"01/09/2010","15","Paparazzi","Lady Gaga"
"01/09/2010","16","Forever","Drake Featuring Kanye West, Lil Wayne & Eminem"
"01/09/2010","31","Run This Town","Jay-Z, Rihanna & Kanye West"
"01/09/2010","37","Telephone","Lady Gaga Featuring Beyonce"
"01/09/2010","98","Video Phone","Beyonce Featuring Lady Gaga"
"01/16/2010","2","Bad Romance","Lady Gaga"
"01/16/2010","14","Paparazzi","Lady Gaga"
"01/16/2010","19","Forever","Drake Featuring Kanye West, Lil Wayne & Eminem"
"01/16/2010","34","Run This Town","Jay-Z, Rihanna & Kanye West"
"01/16/2010","37","Telephone","Lady Gaga Featuring Beyonce"
"01/23/2010","2","Bad Romance","Lady Gaga"
"01/23/2010","18","Forever","Drake Featuring Kanye West, Lil Wayne & Eminem"
"01/23/2010","22","Paparazzi","Lady Gaga"
"01/23/2010","31","Telephone","Lady Gaga Featuring Beyonce"
"01/30/2010","2","Bad Romance","Lady Gaga"
"01/30/2010","20","Telephone","Lady Gaga Featuring Beyonce"
"01/30/2010","23","Forever","Drake Featuring Kanye West, Lil Wayne & Eminem"
"01/30/2010","27","Paparazzi","Lady Gaga"
"02/06/2010","3","Bad Romance","Lady Gaga"
"02/06/2010","20","Telephone","Lady Gaga Featuring Beyonce"
"02/06/2010","29","Forever","Drake Featuring Kanye West, Lil Wayne & Eminem"
"02/06/2010","30","Paparazzi","Lady Gaga"
"02/13/2010","2","Bad Romance","Lady Gaga"
"02/13/2010","19","Telephone","Lady Gaga Featuring Beyonce"
"02/13/2010","32","Paparazzi","Lady Gaga"
"02/13/2010","34","Forever","Drake Featuring Kanye West, Lil Wayne & Eminem"
"02/20/2010","5","Bad Romance","Lady Gaga"
"02/20/2010","16","Telephone","Lady Gaga Featuring Beyonce"
"02/20/2010","26","Forever","Drake Featuring Kanye West, Lil Wayne & Eminem"
"02/20/2010","33","Paparazzi","Lady Gaga"
"02/27/2010","5","Bad Romance","Lady Gaga"
"02/27/2010","15","Telephone","Lady Gaga Featuring Beyonce"
"02/27/2010","34","Forever","Drake Featuring Kanye West, Lil Wayne & Eminem"
"02/27/2010","37","Paparazzi","Lady Gaga"
"03/06/2010","4","Bad Romance","Lady Gaga"
"03/06/2010","14","Telephone","Lady Gaga Featuring Beyonce"
"03/06/2010","38","Forever","Drake Featuring Kanye West, Lil Wayne & Eminem"
"03/06/2010","40","Paparazzi","Lady Gaga"
"03/13/2010","5","Bad Romance","Lady Gaga"
"03/13/2010","12","Telephone","Lady Gaga Featuring Beyonce"
"03/13/2010","45","Forever","Drake Featuring Kanye West, Lil Wayne & Eminem"
"03/13/2010","49","Paparazzi","Lady Gaga"
"03/20/2010","9","Bad Romance","Lady Gaga"
"03/20/2010","11","Telephone","Lady Gaga Featuring Beyonce"
"03/27/2010","9","Telephone","Lady Gaga Featuring Beyonce"
"03/27/2010","15","Bad Romance","Lady Gaga"
"04/03/2010","3","Telephone","Lady Gaga Featuring Beyonce"
"04/03/2010","14","Bad Romance","Lady Gaga"
"04/10/2010","5","Telephone","Lady Gaga Featuring Beyonce"
"04/10/2010","14","Bad Romance","Lady Gaga"
"04/17/2010","5","Telephone","Lady Gaga Featuring Beyonce"
"04/17/2010","17","Bad Romance","Lady Gaga"
"04/17/2010","72","Alejandro","Lady Gaga"
"04/24/2010","7","Telephone","Lady Gaga Featuring Beyonce"
"04/24/2010","21","Bad Romance","Lady Gaga"
"04/24/2010","50","Alejandro","Lady Gaga"
"05/01/2010","7","Telephone","Lady Gaga Featuring Beyonce"
"05/01/2010","24","Bad Romance","Lady Gaga"
"05/01/2010","28","Alejandro","Lady Gaga"
"05/08/2010","10","Telephone","Lady Gaga Featuring Beyonce"
"05/08/2010","20","Alejandro","Lady Gaga"
"05/08/2010","28","Bad Romance","Lady Gaga"
"05/15/2010","13","Telephone","Lady Gaga Featuring Beyonce"
"05/15/2010","16","Alejandro","Lady Gaga"
"05/15/2010","25","Bad Romance","Lady Gaga"
"05/22/2010","11","Alejandro","Lady Gaga"
"05/22/2010","14","Telephone","Lady Gaga Featuring Beyonce"
"05/22/2010","31","Bad Romance","Lady Gaga"
"05/29/2010","8","Alejandro","Lady Gaga"
"05/29/2010","17","Telephone","Lady Gaga Featuring Beyonce"
"05/29/2010","34","Bad Romance","Lady Gaga"
"06/05/2010","6","Alejandro","Lady Gaga"
"06/05/2010","22","Telephone","Lady Gaga Featuring Beyonce"
"06/05/2010","35","Bad Romance","Lady Gaga"
"06/12/2010","6","Alejandro","Lady Gaga"
"06/12/2010","23","Telephone","Lady Gaga Featuring Beyonce"
"06/12/2010","30","Bad Romance","Lady Gaga"
"06/19/2010","7","Alejandro","Lady Gaga"
"06/19/2010","23","Telephone","Lady Gaga Featuring Beyonce"
"06/19/2010","37","Bad Romance","Lady Gaga"
"06/26/2010","5","Alejandro","Lady Gaga"
"06/26/2010","30","Telephone","Lady Gaga Featuring Beyonce"
"06/26/2010","46","Bad Romance","Lady Gaga"
"07/03/2010","7","Alejandro","Lady Gaga"
"07/03/2010","35","Telephone","Lady Gaga Featuring Beyonce"
"07/03/2010","50","Bad Romance","Lady Gaga"
"07/10/2010","9","Alejandro","Lady Gaga"
"07/10/2010","43","Telephone","Lady Gaga Featuring Beyonce"
"07/17/2010","12","Alejandro","Lady Gaga"
"07/17/2010","22","POWER","Kanye West"
"07/17/2010","46","Telephone","Lady Gaga Featuring Beyonce"
