"Year","Rank","Song Title","Artist(s)"
"01/07/1984","1","Say Say Say","Paul McCartney And Michael Jackson"
"01/07/1984","64","P.Y.T. (Pretty Young Thing)","Michael Jackson"
"01/14/1984","1","Say Say Say","Paul McCartney And Michael Jackson"
"01/14/1984","71","P.Y.T. (Pretty Young Thing)","Michael Jackson"
"01/21/1984","2","Say Say Say","Paul McCartney And Michael Jackson"
"01/21/1984","75","P.Y.T. (Pretty Young Thing)","Michael Jackson"
"01/28/1984","7","Say Say Say","Paul McCartney And Michael Jackson"
"02/04/1984","13","Say Say Say","Paul McCartney And Michael Jackson"
"02/11/1984","20","Thriller","Michael Jackson"
"02/11/1984","24","Say Say Say","Paul McCartney And Michael Jackson"
"02/18/1984","7","Thriller","Michael Jackson"
"02/18/1984","41","Say Say Say","Paul McCartney And Michael Jackson"
"02/18/1984","65","Radio Ga Ga","Queen"
"02/25/1984","5","Thriller","Michael Jackson"
"02/25/1984","43","Radio Ga Ga","Queen"
"02/25/1984","56","Say Say Say","Paul McCartney And Michael Jackson"
"03/03/1984","4","Thriller","Michael Jackson"
"03/03/1984","38","Radio Ga Ga","Queen"
"03/03/1984","76","Say Say Say","Paul McCartney And Michael Jackson"
"03/10/1984","4","Thriller","Michael Jackson"
"03/10/1984","35","Radio Ga Ga","Queen"
"03/10/1984","99","Say Say Say","Paul McCartney And Michael Jackson"
"03/17/1984","6","Thriller","Michael Jackson"
"03/17/1984","28","Radio Ga Ga","Queen"
"03/24/1984","11","Thriller","Michael Jackson"
"03/24/1984","25","Radio Ga Ga","Queen"
"03/31/1984","15","Thriller","Michael Jackson"
"03/31/1984","19","Radio Ga Ga","Queen"
"04/07/1984","16","Radio Ga Ga","Queen"
"04/07/1984","23","Thriller","Michael Jackson"
"04/14/1984","18","Radio Ga Ga","Queen"
"04/14/1984","47","Thriller","Michael Jackson"
"04/21/1984","35","Radio Ga Ga","Queen"
"04/21/1984","69","Thriller","Michael Jackson"
"04/28/1984","55","Radio Ga Ga","Queen"
"04/28/1984","73","I Want To Break Free","Queen"
"04/28/1984","77","Thriller","Michael Jackson"
"05/05/1984","60","I Want To Break Free","Queen"
"05/05/1984","82","Radio Ga Ga","Queen"
"05/05/1984","96","Thriller","Michael Jackson"
"05/12/1984","51","I Want To Break Free","Queen"
"05/12/1984","96","Radio Ga Ga","Queen"
"05/12/1984","99","Thriller","Michael Jackson"
"05/19/1984","47","I Want To Break Free","Queen"
"05/26/1984","45","I Want To Break Free","Queen"
"05/26/1984","81","Farewell My Summer Love","Michael Jackson"
"06/02/1984","49","I Want To Break Free","Queen"
"06/02/1984","58","Farewell My Summer Love","Michael Jackson"
"06/09/1984","51","Farewell My Summer Love","Michael Jackson"
"06/09/1984","66","I Want To Break Free","Queen"
"06/16/1984","43","Farewell My Summer Love","Michael Jackson"
"06/16/1984","95","I Want To Break Free","Queen"
"06/23/1984","40","Farewell My Summer Love","Michael Jackson"
"06/30/1984","38","Farewell My Summer Love","Michael Jackson"
"07/07/1984","38","Farewell My Summer Love","Michael Jackson"
"07/14/1984","55","Farewell My Summer Love","Michael Jackson"
"07/21/1984","59","Farewell My Summer Love","Michael Jackson"
"07/28/1984","65","Farewell My Summer Love","Michael Jackson"
"07/28/1984","77","It's A Hard Life","Queen"
"08/04/1984","68","Farewell My Summer Love","Michael Jackson"
"08/04/1984","74","It's A Hard Life","Queen"
"08/11/1984","72","It's A Hard Life","Queen"
"08/11/1984","81","Farewell My Summer Love","Michael Jackson"
"08/18/1984","95","It's A Hard Life","Queen"
