"Year","Rank","Song Title","Artist(s)"
"01/04/1986","64","One Vision","Queen"
"01/11/1986","61","One Vision","Queen"
"01/18/1986","61","One Vision","Queen"
"01/25/1986","70","One Vision","Queen"
"02/01/1986","78","One Vision","Queen"
"02/08/1986","96","One Vision","Queen"
"06/21/1986","85","A Kind Of Magic","Queen"
"06/28/1986","74","A Kind Of Magic","Queen"
"07/05/1986","63","A Kind Of Magic","Queen"
"07/12/1986","56","A Kind Of Magic","Queen"
"07/19/1986","51","A Kind Of Magic","Queen"
"07/26/1986","48","A Kind Of Magic","Queen"
"08/02/1986","43","A Kind Of Magic","Queen"
"08/09/1986","42","A Kind Of Magic","Queen"
"08/09/1986","89","Twist And Shout","The Beatles"
"08/16/1986","52","A Kind Of Magic","Queen"
"08/16/1986","65","Twist And Shout","The Beatles"
"08/23/1986","55","Twist And Shout","The Beatles"
"08/23/1986","81","A Kind Of Magic","Queen"
"08/30/1986","39","Twist And Shout","The Beatles"
"08/30/1986","94","A Kind Of Magic","Queen"
"09/06/1986","32","Twist And Shout","The Beatles"
"09/13/1986","29","Twist And Shout","The Beatles"
"09/20/1986","25","Twist And Shout","The Beatles"
"09/27/1986","23","Twist And Shout","The Beatles"
"10/04/1986","26","Twist And Shout","The Beatles"
"10/11/1986","36","Twist And Shout","The Beatles"
"10/18/1986","47","Twist And Shout","The Beatles"
"10/25/1986","56","Twist And Shout","The Beatles"
"11/01/1986","71","Twist And Shout","The Beatles"
"11/08/1986","75","Twist And Shout","The Beatles"
"11/15/1986","99","Twist And Shout","The Beatles"
