"Year","Rank","Song Title","Artist(s)"
"01/01/1994","28","U.N.I.T.Y.","Queen Latifah"
"01/08/1994","25","U.N.I.T.Y.","Queen Latifah"
"01/15/1994","25","U.N.I.T.Y.","Queen Latifah"
"01/22/1994","25","U.N.I.T.Y.","Queen Latifah"
"01/29/1994","23","U.N.I.T.Y.","Queen Latifah"
"02/05/1994","27","U.N.I.T.Y.","Queen Latifah"
"02/12/1994","33","U.N.I.T.Y.","Queen Latifah"
"02/19/1994","38","U.N.I.T.Y.","Queen Latifah"
"02/26/1994","38","U.N.I.T.Y.","Queen Latifah"
"03/05/1994","45","U.N.I.T.Y.","Queen Latifah"
"03/12/1994","52","U.N.I.T.Y.","Queen Latifah"
"03/12/1994","68","Just Another Day","Queen Latifah"
"03/19/1994","54","U.N.I.T.Y.","Queen Latifah"
"03/19/1994","63","Just Another Day","Queen Latifah"
"03/26/1994","59","Just Another Day","Queen Latifah"
"03/26/1994","65","U.N.I.T.Y.","Queen Latifah"
"04/02/1994","54","Just Another Day","Queen Latifah"
"04/02/1994","69","U.N.I.T.Y.","Queen Latifah"
"04/09/1994","56","Just Another Day","Queen Latifah"
"04/09/1994","71","U.N.I.T.Y.","Queen Latifah"
"04/16/1994","61","Just Another Day","Queen Latifah"
"04/23/1994","63","Just Another Day","Queen Latifah"
"04/30/1994","68","Just Another Day","Queen Latifah"
"05/07/1994","65","Just Another Day","Queen Latifah"
"05/14/1994","77","Just Another Day","Queen Latifah"
"05/21/1994","92","Just Another Day","Queen Latifah"
"07/23/1994","94","Weekend Love","Queen Latifah"
"07/30/1994","80","Weekend Love","Queen Latifah"
"08/06/1994","74","Weekend Love","Queen Latifah"
"08/13/1994","70","Weekend Love","Queen Latifah"
"08/20/1994","70","Weekend Love","Queen Latifah"
"08/27/1994","75","Weekend Love","Queen Latifah"
"09/03/1994","81","Weekend Love","Queen Latifah"
"09/10/1994","81","Weekend Love","Queen Latifah"
"09/17/1994","82","Weekend Love","Queen Latifah"
"09/24/1994","82","Weekend Love","Queen Latifah"
"10/01/1994","89","Weekend Love","Queen Latifah"
"10/08/1994","92","Weekend Love","Queen Latifah"
"10/15/1994","95","Weekend Love","Queen Latifah"
