"Year","Rank","Song Title","Artist(s)"
"01/05/2013","23","Clique","Kanye West, Jay-Z, Big Sean"
"01/05/2013","59","Birthday Song","2 Chainz Featuring Kanye West"
"01/12/2013","23","Clique","Kanye West, Jay-Z, Big Sean"
"01/19/2013","26","Clique","Kanye West, Jay-Z, Big Sean"
"01/26/2013","29","Clique","Kanye West, Jay-Z, Big Sean"
"02/02/2013","35","Clique","Kanye West, Jay-Z, Big Sean"
"02/09/2013","39","Clique","Kanye West, Jay-Z, Big Sean"
"02/16/2013","44","Clique","Kanye West, Jay-Z, Big Sean"
"07/06/2013","56","New Slaves","Kanye West"
"07/06/2013","69","Black Skinhead","Kanye West"
"07/06/2013","91","Blood On The Leaves","Kanye West"
"07/13/2013","86","Black Skinhead","Kanye West"
"07/13/2013","90","New Slaves","Kanye West"
"07/20/2013","97","Black Skinhead","Kanye West"
"07/27/2013","92","Black Skinhead","Kanye West"
"08/31/2013","6","Applause","Lady Gaga"
"09/07/2013","4","Applause","Lady Gaga"
"09/14/2013","6","Applause","Lady Gaga"
"09/14/2013","89","Blood On The Leaves","Kanye West"
"09/21/2013","7","Applause","Lady Gaga"
"09/28/2013","7","Applause","Lady Gaga"
"10/05/2013","8","Applause","Lady Gaga"
"10/12/2013","9","Applause","Lady Gaga"
"10/19/2013","9","Applause","Lady Gaga"
"10/19/2013","18","Gone","Kanye West Featuring Cam'ron & Consequence"
"10/26/2013","8","Applause","Lady Gaga"
"11/02/2013","9","Applause","Lady Gaga"
"11/09/2013","7","Applause","Lady Gaga"
"11/09/2013","13","Do What U Want","Lady Gaga Featuring R. Kelly"
"11/16/2013","10","Applause","Lady Gaga"
"11/16/2013","32","Venus","Lady Gaga"
"11/16/2013","42","Thriller","Michael Jackson"
"11/16/2013","58","Do What U Want","Lady Gaga Featuring R. Kelly"
"11/23/2013","8","Dope","Lady Gaga"
"11/23/2013","10","Applause","Lady Gaga"
"11/23/2013","48","Do What U Want","Lady Gaga Featuring R. Kelly"
"11/30/2013","9","Applause","Lady Gaga"
"11/30/2013","18","Do What U Want","Lady Gaga Featuring R. Kelly"
"11/30/2013","71","Dope","Lady Gaga"
"12/07/2013","14","Applause","Lady Gaga"
"12/07/2013","20","Do What U Want","Lady Gaga Featuring R. Kelly"
"12/07/2013","73","Bound 2","Kanye West"
"12/14/2013","12","Bound 2","Kanye West"
"12/14/2013","14","Applause","Lady Gaga"
"12/14/2013","17","Do What U Want","Lady Gaga Featuring R. Kelly"
"12/21/2013","18","Do What U Want","Lady Gaga Featuring R. Kelly"
"12/21/2013","19","Applause","Lady Gaga"
"12/21/2013","60","Bound 2","Kanye West"
"12/28/2013","16","Do What U Want","Lady Gaga Featuring R. Kelly"
"12/28/2013","20","Applause","Lady Gaga"
"12/28/2013","76","Bound 2","Kanye West"
