"Year","Rank","Song Title","Artist(s)","Album"
"08/16/2008","76","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"08/23/2008","87","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"09/06/2008","74","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"09/13/2008","79","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"09/20/2008","80","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"09/27/2008","75","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"10/04/2008","73","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"10/11/2008","67","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"10/18/2008","66","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"10/25/2008","60","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"11/01/2008","59","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"11/08/2008","49","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"11/15/2008","27","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"11/22/2008","21","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"11/29/2008","16","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"12/06/2008","7","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"12/13/2008","5","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"12/20/2008","4","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"12/27/2008","3","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"01/03/2009","3","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"01/03/2009","92","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"01/10/2009","2","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"01/10/2009","81","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"01/17/2009","1","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"01/17/2009","83","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"01/24/2009","1","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"01/24/2009","72","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"01/31/2009","1","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"01/31/2009","48","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"02/07/2009","2","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"02/07/2009","32","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"02/14/2009","4","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"02/14/2009","23","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"02/21/2009","3","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"02/21/2009","12","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"02/28/2009","5","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"02/28/2009","10","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"03/07/2009","6","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"03/07/2009","7","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"03/14/2009","3","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"03/14/2009","7","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"03/21/2009","3","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"03/21/2009","7","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"03/21/2009","96","LoveGame","Lady Gaga","The Fame Monster (Deluxe Edition)"
"03/28/2009","3","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"03/28/2009","10","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"04/04/2009","2","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"04/04/2009","10","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"04/11/2009","1","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"04/11/2009","9","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"04/18/2009","2","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"04/18/2009","11","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"04/25/2009","2","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"04/25/2009","12","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"05/02/2009","2","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"05/02/2009","14","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"05/09/2009","2","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"05/09/2009","14","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"05/09/2009","99","LoveGame","Lady Gaga","The Fame Monster (Deluxe Edition)"
"05/16/2009","3","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"05/16/2009","17","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"05/16/2009","81","LoveGame","Lady Gaga","The Fame Monster (Deluxe Edition)"
"05/23/2009","2","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"05/23/2009","19","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"05/23/2009","61","LoveGame","Lady Gaga","The Fame Monster (Deluxe Edition)"
"05/30/2009","2","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"05/30/2009","21","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"05/30/2009","27","LoveGame","Lady Gaga","The Fame Monster (Deluxe Edition)"
"06/06/2009","2","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"06/06/2009","22","LoveGame","Lady Gaga","The Fame Monster (Deluxe Edition)"
"06/06/2009","26","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"06/13/2009","2","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"06/13/2009","10","LoveGame","Lady Gaga","The Fame Monster (Deluxe Edition)"
"06/13/2009","22","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"06/20/2009","5","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"06/20/2009","6","LoveGame","Lady Gaga","The Fame Monster (Deluxe Edition)"
"06/20/2009","29","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"06/27/2009","5","LoveGame","Lady Gaga","The Fame Monster (Deluxe Edition)"
"06/27/2009","7","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"06/27/2009","29","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"07/04/2009","6","LoveGame","Lady Gaga","The Fame Monster (Deluxe Edition)"
"07/04/2009","12","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"07/04/2009","36","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"07/11/2009","5","LoveGame","Lady Gaga","The Fame Monster (Deluxe Edition)"
"07/11/2009","15","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"07/11/2009","42","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"07/18/2009","5","LoveGame","Lady Gaga","The Fame Monster (Deluxe Edition)"
"07/18/2009","15","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"07/18/2009","42","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"07/25/2009","7","LoveGame","Lady Gaga","The Fame Monster (Deluxe Edition)"
"07/25/2009","18","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"07/25/2009","48","Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"08/01/2009","7","LoveGame","Lady Gaga","The Fame Monster (Deluxe Edition)"
"08/01/2009","19","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"08/08/2009","8","LoveGame","Lady Gaga","The Fame Monster (Deluxe Edition)"
"08/08/2009","23","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"08/15/2009","9","LoveGame","Lady Gaga","The Fame Monster (Deluxe Edition)"
"08/15/2009","27","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"08/22/2009","12","LoveGame","Lady Gaga","The Fame Monster (Deluxe Edition)"
"08/22/2009","31","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"08/29/2009","16","LoveGame","Lady Gaga","The Fame Monster (Deluxe Edition)"
"08/29/2009","39","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"09/05/2009","18","LoveGame","Lady Gaga","The Fame Monster (Deluxe Edition)"
"09/05/2009","35","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"09/12/2009","24","LoveGame","Lady Gaga","The Fame Monster (Deluxe Edition)"
"09/12/2009","41","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"09/12/2009","74","Paparazzi","Lady Gaga","A Night In Strings"
"09/12/2009","99","Chillin","Lady Gaga","Attention Deficit"
"09/19/2009","32","LoveGame","Lady Gaga","The Fame Monster (Deluxe Edition)"
"09/19/2009","44","Paparazzi","Lady Gaga","A Night In Strings"
"09/19/2009","49","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"09/26/2009","18","Paparazzi","Lady Gaga","A Night In Strings"
"09/26/2009","42","LoveGame","Lady Gaga","The Fame Monster (Deluxe Edition)"
"09/26/2009","49","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"10/03/2009","7","Paparazzi","Lady Gaga","A Night In Strings"
"10/03/2009","43","Poker Face","Lady Gaga","The Fame Monster (Deluxe Edition)"
"10/10/2009","7","Paparazzi","Lady Gaga","A Night In Strings"
"10/17/2009","6","Paparazzi","Lady Gaga","A Night In Strings"
"10/24/2009","7","Paparazzi","Lady Gaga","A Night In Strings"
"10/31/2009","6","Paparazzi","Lady Gaga","A Night In Strings"
"11/07/2009","6","Paparazzi","Lady Gaga","A Night In Strings"
"11/14/2009","6","Paparazzi","Lady Gaga","A Night In Strings"
"11/14/2009","9","Bad Romance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"11/21/2009","7","Paparazzi","Lady Gaga","A Night In Strings"
"11/21/2009","18","Bad Romance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"11/28/2009","9","Paparazzi","Lady Gaga","A Night In Strings"
"11/28/2009","11","Bad Romance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"12/05/2009","2","Bad Romance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"12/05/2009","8","Paparazzi","Lady Gaga","A Night In Strings"
"12/12/2009","2","Bad Romance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"12/12/2009","11","Paparazzi","Lady Gaga","A Night In Strings"
"12/12/2009","30","Telephone","Lady Gaga","The Fame Monster (Deluxe Edition)"
"12/12/2009","65","Video Phone","Lady Gaga","Sing in the Style of Beyonce (Karaoke Version)"
"12/12/2009","94","Speechless","Lady Gaga","The Fame Monster (Deluxe Edition)"
"12/19/2009","2","Bad Romance","Lady Gaga","The Fame Monster (Deluxe Edition)"
"12/19/2009","11","Paparazzi","Lady Gaga","A Night In Strings"
"12/19/2009","41","Telephone","Lady Gaga","The Fame Monster (Deluxe Edition)"
"12/19/2009","81","Video Phone","Lady Gaga","Sing in the Style of Beyonce (Karaoke Version)"
"12/26/2009","3","Bad Romance","Lady Gaga","The Fame Monster (Deluxe Edition)"
