"Year","Rank","Song Title","Artist(s)","Album"
"10/30/1971","89","Got To Be There","Michael Jackson","Got To Be There"
"11/06/1971","39","Got To Be There","Michael Jackson","Got To Be There"
"11/13/1971","13","Got To Be There","Michael Jackson","Got To Be There"
"11/20/1971","9","Got To Be There","Michael Jackson","Got To Be There"
"11/27/1971","7","Got To Be There","Michael Jackson","Got To Be There"
"12/04/1971","6","Got To Be There","Michael Jackson","Got To Be There"
"12/11/1971","4","Got To Be There","Michael Jackson","Got To Be There"
"12/18/1971","5","Got To Be There","Michael Jackson","Got To Be There"
"12/25/1971","5","Got To Be There","Michael Jackson","Got To Be There"
"01/01/1972","5","Got To Be There","Michael Jackson","Got To Be There"
"01/08/1972","5","Got To Be There","Michael Jackson","Got To Be There"
"01/15/1972","8","Got To Be There","Michael Jackson","Got To Be There"
"01/22/1972","15","Got To Be There","Michael Jackson","Got To Be There"
"01/29/1972","31","Got To Be There","Michael Jackson","Got To Be There"
"03/11/1972","68","Rockin' Robin","Michael Jackson","Got To Be There"
"03/18/1972","33","Rockin' Robin","Michael Jackson","Got To Be There"
"03/25/1972","14","Rockin' Robin","Michael Jackson","Got To Be There"
"04/01/1972","9","Rockin' Robin","Michael Jackson","Got To Be There"
"04/08/1972","5","Rockin' Robin","Michael Jackson","Got To Be There"
"04/15/1972","4","Rockin' Robin","Michael Jackson","Got To Be There"
"04/22/1972","2","Rockin' Robin","Michael Jackson","Got To Be There"
"04/29/1972","2","Rockin' Robin","Michael Jackson","Got To Be There"
"05/06/1972","4","Rockin' Robin","Michael Jackson","Got To Be There"
"05/13/1972","5","Rockin' Robin","Michael Jackson","Got To Be There"
"05/20/1972","6","Rockin' Robin","Michael Jackson","Got To Be There"
"05/27/1972","26","Rockin' Robin","Michael Jackson","Got To Be There"
"05/27/1972","59","I Wanna Be Where You Are","Michael Jackson","Got To Be There"
"06/03/1972","48","Rockin' Robin","Michael Jackson","Got To Be There"
"06/03/1972","49","I Wanna Be Where You Are","Michael Jackson","Got To Be There"
"06/10/1972","38","I Wanna Be Where You Are","Michael Jackson","Got To Be There"
"06/17/1972","33","I Wanna Be Where You Are","Michael Jackson","Got To Be There"
"06/24/1972","27","I Wanna Be Where You Are","Michael Jackson","Got To Be There"
"07/01/1972","21","I Wanna Be Where You Are","Michael Jackson","Got To Be There"
"07/08/1972","18","I Wanna Be Where You Are","Michael Jackson","Got To Be There"
"07/15/1972","16","I Wanna Be Where You Are","Michael Jackson","Got To Be There"
"07/22/1972","16","I Wanna Be Where You Are","Michael Jackson","Got To Be There"
"07/29/1972","24","I Wanna Be Where You Are","Michael Jackson","Got To Be There"
"08/05/1972","37","I Wanna Be Where You Are","Michael Jackson","Got To Be There"
"08/05/1972","85","Ben","Michael Jackson","Ben"
"08/12/1972","75","Ben","Michael Jackson","Ben"
"08/19/1972","61","Ben","Michael Jackson","Ben"
"08/26/1972","51","Ben","Michael Jackson","Ben"
"09/02/1972","43","Ben","Michael Jackson","Ben"
"09/09/1972","26","Ben","Michael Jackson","Ben"
"09/16/1972","13","Ben","Michael Jackson","Ben"
"09/23/1972","6","Ben","Michael Jackson","Ben"
"09/30/1972","5","Ben","Michael Jackson","Ben"
"10/07/1972","2","Ben","Michael Jackson","Ben"
