"Year","Rank","Song Title","Artist(s)"
"01/07/1989","10","Smooth Criminal","Michael Jackson"
"01/14/1989","7","Smooth Criminal","Michael Jackson"
"01/21/1989","7","Smooth Criminal","Michael Jackson"
"01/28/1989","15","Smooth Criminal","Michael Jackson"
"02/04/1989","31","Smooth Criminal","Michael Jackson"
"02/11/1989","51","Smooth Criminal","Michael Jackson"
"02/18/1989","80","Smooth Criminal","Michael Jackson"
"05/13/1989","92","I Want It All","Queen"
"05/20/1989","82","I Want It All","Queen"
"05/27/1989","74","I Want It All","Queen"
"06/03/1989","65","I Want It All","Queen"
"06/10/1989","58","I Want It All","Queen"
"06/17/1989","50","I Want It All","Queen"
"06/24/1989","61","I Want It All","Queen"
"07/01/1989","71","I Want It All","Queen"
"07/08/1989","83","I Want It All","Queen"
"07/15/1989","94","I Want It All","Queen"
