"Year","Rank","Song Title","Artist(s)"
"01/02/1988","7","The Way You Make Me Feel","Michael Jackson"
"01/09/1988","5","The Way You Make Me Feel","Michael Jackson"
"01/16/1988","3","The Way You Make Me Feel","Michael Jackson"
"01/23/1988","1","The Way You Make Me Feel","Michael Jackson"
"01/30/1988","4","The Way You Make Me Feel","Michael Jackson"
"02/06/1988","12","The Way You Make Me Feel","Michael Jackson"
"02/06/1988","48","Man In The Mirror","Michael Jackson"
"02/13/1988","24","The Way You Make Me Feel","Michael Jackson"
"02/13/1988","36","Man In The Mirror","Michael Jackson"
"02/20/1988","27","Man In The Mirror","Michael Jackson"
"02/20/1988","37","The Way You Make Me Feel","Michael Jackson"
"02/27/1988","17","Man In The Mirror","Michael Jackson"
"02/27/1988","52","The Way You Make Me Feel","Michael Jackson"
"03/05/1988","9","Man In The Mirror","Michael Jackson"
"03/05/1988","72","The Way You Make Me Feel","Michael Jackson"
"03/12/1988","7","Man In The Mirror","Michael Jackson"
"03/12/1988","88","The Way You Make Me Feel","Michael Jackson"
"03/19/1988","4","Man In The Mirror","Michael Jackson"
"03/19/1988","98","The Way You Make Me Feel","Michael Jackson"
"03/26/1988","1","Man In The Mirror","Michael Jackson"
"04/02/1988","1","Man In The Mirror","Michael Jackson"
"04/09/1988","2","Man In The Mirror","Michael Jackson"
"04/16/1988","4","Man In The Mirror","Michael Jackson"
"04/23/1988","11","Man In The Mirror","Michael Jackson"
"04/30/1988","19","Man In The Mirror","Michael Jackson"
"05/07/1988","31","Man In The Mirror","Michael Jackson"
"05/07/1988","53","Dirty Diana","Michael Jackson"
"05/07/1988","89","Get It","Stevie Wonder & Michael Jackson"
"05/14/1988","40","Dirty Diana","Michael Jackson"
"05/14/1988","52","Man In The Mirror","Michael Jackson"
"05/14/1988","87","Get It","Stevie Wonder & Michael Jackson"
"05/21/1988","29","Dirty Diana","Michael Jackson"
"05/21/1988","71","Man In The Mirror","Michael Jackson"
"05/21/1988","83","Get It","Stevie Wonder & Michael Jackson"
"05/28/1988","17","Dirty Diana","Michael Jackson"
"05/28/1988","80","Get It","Stevie Wonder & Michael Jackson"
"05/28/1988","97","Man In The Mirror","Michael Jackson"
"06/04/1988","12","Dirty Diana","Michael Jackson"
"06/04/1988","94","Get It","Stevie Wonder & Michael Jackson"
"06/11/1988","8","Dirty Diana","Michael Jackson"
"06/11/1988","98","Get It","Stevie Wonder & Michael Jackson"
"06/18/1988","4","Dirty Diana","Michael Jackson"
"06/25/1988","2","Dirty Diana","Michael Jackson"
"07/02/1988","1","Dirty Diana","Michael Jackson"
"07/09/1988","5","Dirty Diana","Michael Jackson"
"07/16/1988","15","Dirty Diana","Michael Jackson"
"07/23/1988","30","Dirty Diana","Michael Jackson"
"07/23/1988","54","Another Part Of Me","Michael Jackson"
"07/30/1988","43","Another Part Of Me","Michael Jackson"
"07/30/1988","51","Dirty Diana","Michael Jackson"
"08/06/1988","31","Another Part Of Me","Michael Jackson"
"08/06/1988","77","Dirty Diana","Michael Jackson"
"08/13/1988","25","Another Part Of Me","Michael Jackson"
"08/20/1988","20","Another Part Of Me","Michael Jackson"
"08/27/1988","17","Another Part Of Me","Michael Jackson"
"09/03/1988","12","Another Part Of Me","Michael Jackson"
"09/10/1988","11","Another Part Of Me","Michael Jackson"
"09/17/1988","12","Another Part Of Me","Michael Jackson"
"09/24/1988","30","Another Part Of Me","Michael Jackson"
"10/01/1988","45","Another Part Of Me","Michael Jackson"
"10/08/1988","83","Another Part Of Me","Michael Jackson"
"10/15/1988","96","Another Part Of Me","Michael Jackson"
"11/12/1988","66","Smooth Criminal","Michael Jackson"
"11/19/1988","49","Smooth Criminal","Michael Jackson"
"11/26/1988","38","Smooth Criminal","Michael Jackson"
"12/03/1988","32","Smooth Criminal","Michael Jackson"
"12/10/1988","25","Smooth Criminal","Michael Jackson"
"12/17/1988","20","Smooth Criminal","Michael Jackson"
"12/24/1988","13","Smooth Criminal","Michael Jackson"
"12/31/1988","13","Smooth Criminal","Michael Jackson"
