"Year","Rank","Song Title","Artist(s)"
"04/14/2018","45","Medicine","Queen Naija"
"04/21/2018","86","Medicine","Queen Naija"
"05/12/2018","85","Ye vs The People","Kanye West Featuring T.I."
"05/19/2018","16","Watch","Travis Scott Featuring Lil Uzi Vert & Kanye West"
"05/26/2018","42","Watch","Travis Scott Featuring Lil Uzi Vert & Kanye West"
"06/02/2018","60","Watch","Travis Scott Featuring Lil Uzi Vert & Kanye West"
"06/09/2018","75","What Would Meek Do?","Pusha T Featuring Kanye West"
"06/09/2018","84","Watch","Travis Scott Featuring Lil Uzi Vert & Kanye West"
"06/16/2018","8","Yikes","Kanye West"
"06/16/2018","11","All Mine","Kanye West"
"06/16/2018","16","Ghost Town","Kanye West Featuring PARTYNEXTDOOR"
"06/16/2018","24","Wouldn't Leave","Kanye West Featuring PARTYNEXTDOOR"
"06/16/2018","27","Violent Crimes","Kanye West"
"06/16/2018","28","I Thought About Killing You","Kanye West"
"06/16/2018","36","No Mistakes","Kanye West"
"06/16/2018","87","Watch","Travis Scott Featuring Lil Uzi Vert & Kanye West"
"06/23/2018","31","All Mine","Kanye West"
"06/23/2018","40","Yikes","Kanye West"
"06/23/2018","60","Ghost Town","Kanye West Featuring PARTYNEXTDOOR"
"06/23/2018","85","Violent Crimes","Kanye West"
"06/23/2018","92","Wouldn't Leave","Kanye West Featuring PARTYNEXTDOOR"
"06/30/2018","48","All Mine","Kanye West"
"06/30/2018","67","Yikes","Kanye West"
"06/30/2018","96","Cop Shot The Kid","Nas Featuring Kanye West"
"06/30/2018","100","Medicine","Queen Naija"
"07/07/2018","54","All Mine","Kanye West"
"07/07/2018","77","Yikes","Kanye West"
"07/07/2018","81","Medicine","Queen Naija"
"07/14/2018","9","Don't Matter To Me","Drake Featuring Michael Jackson"
"07/14/2018","63","Karma","Queen Naija"
"07/14/2018","83","All Mine","Kanye West"
"07/14/2018","85","Medicine","Queen Naija"
"07/14/2018","92","Yikes","Kanye West"
"07/21/2018","21","Don't Matter To Me","Drake Featuring Michael Jackson"
"07/21/2018","85","All Mine","Kanye West"
"07/21/2018","90","Medicine","Queen Naija"
"07/28/2018","33","Don't Matter To Me","Drake Featuring Michael Jackson"
"07/28/2018","77","All Mine","Kanye West"
"07/28/2018","78","Medicine","Queen Naija"
"08/04/2018","54","Don't Matter To Me","Drake Featuring Michael Jackson"
"08/04/2018","65","Medicine","Queen Naija"
"08/04/2018","91","All Mine","Kanye West"
"08/11/2018","54","Medicine","Queen Naija"
"08/11/2018","66","Don't Matter To Me","Drake Featuring Michael Jackson"
"08/11/2018","96","All Mine","Kanye West"
"08/11/2018","98","Karma","Queen Naija"
"08/18/2018","71","Medicine","Queen Naija"
"08/25/2018","65","Medicine","Queen Naija"
"09/01/2018","64","Medicine","Queen Naija"
"09/08/2018","70","Medicine","Queen Naija"
"09/15/2018","69","Medicine","Queen Naija"
"09/22/2018","6","I Love It","Kanye West & Lil Pump"
"09/22/2018","61","Medicine","Queen Naija"
"09/29/2018","7","I Love It","Kanye West & Lil Pump"
"09/29/2018","60","Medicine","Queen Naija"
"10/06/2018","9","I Love It","Kanye West & Lil Pump"
"10/06/2018","66","Medicine","Queen Naija"
"10/13/2018","18","I Love It","Kanye West & Lil Pump"
"10/13/2018","28","Shallow","Lady Gaga & Bradley Cooper"
"10/13/2018","89","Medicine","Queen Naija"
"10/20/2018","5","Shallow","Lady Gaga & Bradley Cooper"
"10/20/2018","17","I Love It","Kanye West & Lil Pump"
"10/20/2018","36","I'll Never Love Again","Lady Gaga"
"10/20/2018","41","Always Remember Us This Way","Lady Gaga"
"10/20/2018","63","Is That Alright?","Lady Gaga"
"10/20/2018","86","Medicine","Queen Naija"
"10/27/2018","10","Shallow","Lady Gaga & Bradley Cooper"
"10/27/2018","26","I Love It","Kanye West & Lil Pump"
"10/27/2018","50","Always Remember Us This Way","Lady Gaga"
"10/27/2018","54","I'll Never Love Again","Lady Gaga"
"10/27/2018","83","Medicine","Queen Naija"
"11/03/2018","14","Shallow","Lady Gaga & Bradley Cooper"
"11/03/2018","35","I Love It","Kanye West & Lil Pump"
"11/03/2018","57","Always Remember Us This Way","Lady Gaga"
"11/03/2018","67","I'll Never Love Again","Lady Gaga"
"11/10/2018","21","Shallow","Lady Gaga & Bradley Cooper"
"11/10/2018","31","Thriller","Michael Jackson"
"11/10/2018","47","I Love It","Kanye West & Lil Pump"
"11/10/2018","72","I'll Never Love Again","Lady Gaga"
"11/10/2018","74","Always Remember Us This Way","Lady Gaga"
"11/17/2018","22","Shallow","Lady Gaga & Bradley Cooper"
"11/17/2018","33","Bohemian Rhapsody","Queen"
"11/17/2018","60","I Love It","Kanye West & Lil Pump"
"11/17/2018","81","Always Remember Us This Way","Lady Gaga"
"11/17/2018","85","I'll Never Love Again","Lady Gaga"
"11/24/2018","24","Shallow","Lady Gaga & Bradley Cooper"
"11/24/2018","40","Bohemian Rhapsody","Queen"
"11/24/2018","71","I Love It","Kanye West & Lil Pump"
"11/24/2018","85","Always Remember Us This Way","Lady Gaga"
"11/24/2018","97","I'll Never Love Again","Lady Gaga"
"12/01/2018","23","Shallow","Lady Gaga & Bradley Cooper"
"12/01/2018","50","Bohemian Rhapsody","Queen"
"12/01/2018","75","I Love It","Kanye West & Lil Pump"
"12/08/2018","28","Shallow","Lady Gaga & Bradley Cooper"
"12/08/2018","58","MAMA","6ix9ine Featuring Nicki Minaj & Kanye West"
"12/08/2018","97","I Love It","Kanye West & Lil Pump"
"12/15/2018","38","Shallow","Lady Gaga & Bradley Cooper"
"12/15/2018","43","MAMA","6ix9ine Featuring Nicki Minaj & Kanye West"
