"Year","Rank","Song Title","Artist(s)"
"01/01/1983","3","The Girl Is Mine","Michael Jackson And Paul McCartney"
"01/08/1983","2","The Girl Is Mine","Michael Jackson And Paul McCartney"
"01/15/1983","2","The Girl Is Mine","Michael Jackson And Paul McCartney"
"01/22/1983","2","The Girl Is Mine","Michael Jackson And Paul McCartney"
"01/22/1983","47","Billie Jean","Michael Jackson"
"01/29/1983","5","The Girl Is Mine","Michael Jackson And Paul McCartney"
"01/29/1983","37","Billie Jean","Michael Jackson"
"02/05/1983","16","The Girl Is Mine","Michael Jackson And Paul McCartney"
"02/05/1983","27","Billie Jean","Michael Jackson"
"02/12/1983","23","Billie Jean","Michael Jackson"
"02/12/1983","34","The Girl Is Mine","Michael Jackson And Paul McCartney"
"02/19/1983","6","Billie Jean","Michael Jackson"
"02/19/1983","82","The Girl Is Mine","Michael Jackson And Paul McCartney"
"02/26/1983","4","Billie Jean","Michael Jackson"
"02/26/1983","78","Beat It","Michael Jackson"
"02/26/1983","91","The Girl Is Mine","Michael Jackson And Paul McCartney"
"03/05/1983","1","Billie Jean","Michael Jackson"
"03/05/1983","65","Beat It","Michael Jackson"
"03/05/1983","97","The Girl Is Mine","Michael Jackson And Paul McCartney"
"03/12/1983","1","Billie Jean","Michael Jackson"
"03/12/1983","44","Beat It","Michael Jackson"
"03/19/1983","1","Billie Jean","Michael Jackson"
"03/19/1983","24","Beat It","Michael Jackson"
"03/26/1983","1","Billie Jean","Michael Jackson"
"03/26/1983","15","Beat It","Michael Jackson"
"04/02/1983","1","Billie Jean","Michael Jackson"
"04/02/1983","14","Beat It","Michael Jackson"
"04/09/1983","1","Billie Jean","Michael Jackson"
"04/09/1983","10","Beat It","Michael Jackson"
"04/16/1983","1","Billie Jean","Michael Jackson"
"04/16/1983","5","Beat It","Michael Jackson"
"04/23/1983","2","Beat It","Michael Jackson"
"04/23/1983","5","Billie Jean","Michael Jackson"
"04/30/1983","1","Beat It","Michael Jackson"
