"Year","Rank","Song Title","Artist(s)"
"01/02/1993","54","Heal The World","Michael Jackson"
"01/09/1993","54","Heal The World","Michael Jackson"
"01/16/1993","54","Heal The World","Michael Jackson"
"01/23/1993","53","Heal The World","Michael Jackson"
"01/30/1993","52","Heal The World","Michael Jackson"
"02/06/1993","56","Heal The World","Michael Jackson"
"02/13/1993","65","Heal The World","Michael Jackson"
"02/20/1993","54","Heal The World","Michael Jackson"
"02/27/1993","36","Heal The World","Michael Jackson"
"03/06/1993","34","Heal The World","Michael Jackson"
"03/13/1993","28","Heal The World","Michael Jackson"
"03/20/1993","27","Heal The World","Michael Jackson"
"03/27/1993","29","Heal The World","Michael Jackson"
"04/03/1993","32","Heal The World","Michael Jackson"
"04/10/1993","35","Heal The World","Michael Jackson"
"04/10/1993","44","Who Is It","Michael Jackson"
"04/17/1993","33","Who Is It","Michael Jackson"
"04/17/1993","39","Heal The World","Michael Jackson"
"04/24/1993","25","Who Is It","Michael Jackson"
"04/24/1993","42","Heal The World","Michael Jackson"
"05/01/1993","18","Who Is It","Michael Jackson"
"05/08/1993","15","Who Is It","Michael Jackson"
"05/15/1993","14","Who Is It","Michael Jackson"
"05/15/1993","49","Somebody To Love","George Michael & Queen"
"05/22/1993","14","Who Is It","Michael Jackson"
"05/22/1993","37","Somebody To Love","George Michael & Queen"
"05/29/1993","18","Who Is It","Michael Jackson"
"05/29/1993","30","Somebody To Love","George Michael & Queen"
"06/05/1993","21","Who Is It","Michael Jackson"
"06/05/1993","34","Somebody To Love","George Michael & Queen"
"06/12/1993","32","Who Is It","Michael Jackson"
"06/12/1993","38","Somebody To Love","George Michael & Queen"
"06/19/1993","39","Who Is It","Michael Jackson"
"06/19/1993","46","Somebody To Love","George Michael & Queen"
"06/26/1993","50","Who Is It","Michael Jackson"
"06/26/1993","59","Somebody To Love","George Michael & Queen"
"07/03/1993","61","Who Is It","Michael Jackson"
"07/03/1993","67","Somebody To Love","George Michael & Queen"
"07/10/1993","70","Who Is It","Michael Jackson"
"07/10/1993","98","Somebody To Love","George Michael & Queen"
"07/17/1993","63","Will You Be There","Michael Jackson"
"07/17/1993","72","Who Is It","Michael Jackson"
"07/24/1993","45","Will You Be There","Michael Jackson"
"07/24/1993","81","Who Is It","Michael Jackson"
"07/31/1993","36","Will You Be There","Michael Jackson"
"07/31/1993","91","Who Is It","Michael Jackson"
"08/07/1993","27","Will You Be There","Michael Jackson"
"08/07/1993","99","Who Is It","Michael Jackson"
"08/14/1993","24","Will You Be There","Michael Jackson"
"08/21/1993","14","Will You Be There","Michael Jackson"
"08/28/1993","12","Will You Be There","Michael Jackson"
"09/04/1993","8","Will You Be There","Michael Jackson"
"09/11/1993","7","Will You Be There","Michael Jackson"
"09/18/1993","8","Will You Be There","Michael Jackson"
"09/25/1993","7","Will You Be There","Michael Jackson"
"10/02/1993","7","Will You Be There","Michael Jackson"
"10/09/1993","8","Will You Be There","Michael Jackson"
"10/16/1993","17","Will You Be There","Michael Jackson"
"10/23/1993","26","Will You Be There","Michael Jackson"
"10/30/1993","32","Will You Be There","Michael Jackson"
"11/06/1993","40","Will You Be There","Michael Jackson"
"11/13/1993","46","Will You Be There","Michael Jackson"
"11/20/1993","53","Will You Be There","Michael Jackson"
"11/27/1993","60","Will You Be There","Michael Jackson"
"11/27/1993","63","U.N.I.T.Y.","Queen Latifah"
"12/04/1993","53","U.N.I.T.Y.","Queen Latifah"
"12/11/1993","41","U.N.I.T.Y.","Queen Latifah"
"12/18/1993","34","U.N.I.T.Y.","Queen Latifah"
"12/25/1993","34","U.N.I.T.Y.","Queen Latifah"
